boleto,numero,concertacion,contraparte,id_cuenta,tipoOperacion,instrumento,bruto,moneda,segmento,denominacion
BOL 2025011421,2025011421,2025-01-31,ALLARIA - ALYC,453,SENEBI Contado - Compra,[9323] TTD26,1896237220.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025018192,2025018192,2025-02-14,ALLARIA - ALYC,453,SENEBI Contado - Compra,[9325] T15E7,2597546999.62,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025105454,2025105454,2025-07-15,ALLARIA - ALYC,453,SENEBI Contado - Venta,[56638] VSCHO,119815000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025130681,2025130681,2025-09-02,ALLARIA - ALYC,453,SENEBI Contado - Venta,[57855] YMCWO,639475000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025165104,2025165104,2025-10-21,ALLARIA - ALYC,453,SENEBI Contado - Venta,[58579] PN40O,286934000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025175893,2025175893,2025-11-07,ALLARIA - ALYC,453,SENEBI Contado - Venta,[58579] PN40O,594497400.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025176090,2025176090,2025-11-10,ALLARIA - ALYC,453,SENEBI Contado - Venta,[57855] YMCWO,144568100.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2026014392,2026014392,2026-01-27,ALLARIA - ALYC,453,SENEBI Contado - Venta,[56887] VSCJO,270752000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2026026525,2026026525,2026-02-23,ALLARIA - ALYC,453,SENEBI Contado - Compra,[57085] TLCGO,132932002.5,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2026028066,2026028066,2026-02-24,ALLARIA - ALYC,453,SENEBI Contado - Compra,[56887] VSCJO,129941260.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2024124647,2024124647,2024-12-18,BBVA,1257,SENEBI Contado - Venta,[42849] BBY25 - LT PCIA BS AS CAP V22/05/25 $ CG,129702300.0,ARS,SENEBI,BANCO BBVA ARGENTINA S.A
BOL 2025089771,2025089771,2025-06-18,COMAFI,711,SENEBI Contado - Compra,[81086] GD30,250000.31,USD,SENEBI,BANCO COMAFI S.A.
BOL 2025113356,2025113356,2025-07-30,COMAFI,711,SENEBI Contado - Venta,[9236] BPOC7,698155161.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025135668,2025135668,2025-09-12,COMAFI,711,SENEBI Contado - Venta,[58838] AFCHO,252250.0,USD,SENEBI,BANCO COMAFI S.A.
BOL 2025135982,2025135982,2025-09-12,COMAFI,711,SENEBI Contado - Venta,[57800] TLCLO,349725000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025143927,2025143927,2025-09-24,COMAFI,711,SENEBI Contado - Venta,[56781] YMCMO,198792000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025144194,2025144194,2025-09-24,COMAFI,711,SENEBI Contado - Venta,[57828] YFCHO,527112000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025155140,2025155140,2025-10-03,COMAFI,711,SENEBI Contado - Venta,[81086] GD30,1292580228.46,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025155144,2025155144,2025-10-03,COMAFI,711,SENEBI Contado - Compra,[81086] GD30,860000.15,USD,SENEBI,BANCO COMAFI S.A.
BOL 2025156162,2025156162,2025-10-06,COMAFI,711,SENEBI Contado - Venta,[56638] VSCHO,139707000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025171979,2025171979,2025-10-31,COMAFI,711,SENEBI Contado - Venta,[9282] TZVD5 - BONO TESORO NACIONAL V15/12/25 U$S CG,1798750000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2026040736,2026040736,2026-03-17,BIND,018,SENEBI Contado - Compra,[9249] TZXD6,1296500000.0,ARS,SENEBI,BANCO INDUSTRIAL SA
BOL 2025075648,2025075648,2025-05-29,BST,732,SENEBI Contado - Venta,[42909] BA2N5 - LT MUN. DE CORDOBA S.52 V28/11/25 $ CG,211460000.0,ARS,SENEBI,BST
BOL 2024095419,2024095419,2024-10-24,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[57108] OLC2O,390000000.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2024123268,2024123268,2024-12-17,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[9301] S12S5 - Letra del Tesoro Nacional capitalizable en pesos Vto. 12/09/25,638250000.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2026047301,2026047301,2026-03-30,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[42991] BUA26 - LT PROV. CHUBUT S.115 CL.1 22/04/26 $,519100000.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2025150172,2025150172,2025-09-29,COCOS - ALYC,1293,SENEBI Contado - Venta,[58107] MGCNO,586241370.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025150456,2025150456,2025-09-29,COCOS - ALYC,1293,SENEBI Contado - Venta,[58107] MGCNO,129348310.5,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025151537,2025151537,2025-09-30,COCOS - ALYC,1293,SENEBI Contado - Venta,[9235] BPOB7,625459520.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025152794,2025152794,2025-10-01,COCOS - ALYC,1293,SENEBI Contado - Venta,[9236] BPOC7,640943400.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025152795,2025152795,2025-10-01,COCOS - ALYC,1293,SENEBI Contado - Compra,[9235] BPOB7,640963120.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025169482,2025169482,2025-10-28,COCOS - ALYC,1293,SENEBI Contado - Venta,[9235] BPOB7,700956875.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025195311,2025195311,2025-12-05,COCOS - ALYC,1293,SENEBI Contado - Compra,[58438] BPCLO,514900000.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025208464,2025208464,2025-12-30,COCOS - ALYC,1293,SENEBI Contado - Compra,[9319] TTM26,1395500000.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025033359,2025033359,2025-03-12,ALLARIA - ALYC,453,SENEBI Contado - Venta,[9324] S10N5,998000000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025107291,2025107291,2025-07-18,ALLARIA - ALYC,453,SENEBI Contado - Compra,[57884] VSCQO,1302586080.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025164411,2025164411,2025-10-20,ALLARIA - ALYC,453,SENEBI Contado - Venta,[58579] PN40O,169818000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025190442,2025190442,2025-11-28,ALLARIA - ALYC,453,SENEBI Contado - Venta,[5921] AL30,309999.95,USD,SENEBI,ALLARIA S.A. ALYC
BOL 2025205206,2025205206,2025-12-22,ALLARIA - ALYC,453,SENEBI Contado - Venta,[57639] HJCAO,438501000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2026027809,2026027809,2026-02-24,ALLARIA - ALYC,453,SENEBI Contado - Venta,[56887] VSCJO,129941260.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2026029252,2026029252,2026-02-26,ALLARIA - ALYC,453,SENEBI Contado - Compra,[9242] TZX28,2866000001.09,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025113357,2025113357,2025-07-30,COMAFI,711,SENEBI Contado - Compra,[81090] GD38,502329977.65,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025152964,2025152964,2025-10-01,COMAFI,711,SENEBI Contado - Venta,[81086] GD30,229500703.8,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025154619,2025154619,2025-10-03,COMAFI,711,SENEBI Contado - Venta,[81086] GD30,450300555.67,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025202809,2025202809,2025-12-19,COMAFI,711,SENEBI Contado - Compra,[81088] GD35,2929800225.13,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2026023324,2026023324,2026-02-13,COMAFI,711,SENEBI Contado - Compra,[58900] SXC2O,729700000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2026014092,2026014092,2026-01-27,BIND,018,SENEBI Contado - Venta,[9351] S30A6,1176000000.0,ARS,SENEBI,BANCO INDUSTRIAL SA
BOL 2026020122,2026020122,2026-02-06,BIND,018,SENEBI Contado - Compra,[9257] TZXM6,918675000.0,ARS,SENEBI,BANCO INDUSTRIAL SA
BOL 2025088796,2025088796,2025-06-17,BST,732,SENEBI Contado - Venta,[42909] BA2N5 - LT MUN. DE CORDOBA S.52 V28/11/25 $ CG,215760000.0,ARS,SENEBI,BST
BOL 2024075892,2024075892,2024-08-29,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[56467] LUC4O - ON LUZ TRES P.4,534930000.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2024076358,2024076358,2024-08-30,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[56108] LUC20 - ON LUZ TRES P 2,285240000.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2024088714,2024088714,2024-10-07,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[57230] TLCHO,511925278.5,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2025087699,2025087699,2025-06-12,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[9309] T17O5,278797400.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2025090463,2025090463,2025-06-13,BULL MARKET - ALYC,849,SENEBI Contado - Compra,[55985] TLCDO - ON TELECOM ARG CL.12,483840000.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2025051231,2025051231,2025-04-21,COCOS - ALYC,1293,SENEBI Contado - Venta,[58579] PN40O,99210000.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025119730,2025119730,2025-08-12,COCOS - ALYC,1293,SENEBI Contado - Venta,[57855] YMCWO,797542500.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025155229,2025155229,2025-10-03,COCOS - ALYC,1293,SENEBI Contado - Venta,[9235] BPOB7,656496000.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025165740,2025165740,2025-10-22,COCOS - ALYC,1293,SENEBI Contado - Compra,[9235] BPOB7,703909600.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025167239,2025167239,2025-10-24,COCOS - ALYC,1293,SENEBI Contado - Compra,[9240] TZX26,999999998.28,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2025195298,2025195298,2025-12-05,COCOS - ALYC,1293,SENEBI Contado - Compra,[58656] BNCWO,506050000.0,ARS,SENEBI,COCOS CAPITAL S.A.
BOL 2026011181,2026011181,2026-01-21,COCOS - ALYC,1293,SENEBI Contado - Compra,[9247] BPY26,550751.2,USD,SENEBI,COCOS CAPITAL S.A.
BOL 2023005010 (A),2023005010,2023-01-11,CONO SUR - ALYC,141,SENEBI Contado - Compra,[9105] X20E3 - X20E3-LETRA DEL TESORO NACIONAL EN PESOS AJUSTADA POR CER A DESCUENTO CON VENCIMIENTO 20 DE ENERO DE 2023,50000.0,USD,,CONO SUR INVERSIONES S.A
BOL 2025031382,2025031382,2025-03-11,CONO SUR - ALYC,141,SENEBI Contado - Compra,[9237] BPOD7,1836379321.2,ARS,SENEBI,CONO SUR INVERSIONES S.A
BOL 2025043173,2025043173,2025-04-07,CONO SUR - ALYC,141,SENEBI Contado - Venta,[9320] TTJ26,1000000.0,USD,SENEBI,CONO SUR INVERSIONES S.A
BOL 2025012869,2025012869,2025-01-31,ALLARIA - ALYC,453,SENEBI Contado - Venta,[9323] TTD26,1605620.0,USD,SENEBI,ALLARIA S.A. ALYC
BOL 2025016089,2025016089,2025-02-10,ALLARIA - ALYC,453,SENEBI Contado - Compra,[9325] T15E7,2395999999.78,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025016556,2025016556,2025-02-11,ALLARIA - ALYC,453,SENEBI Contado - Compra,[9325] T15E7,1190999999.89,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025021788,2025021788,2025-02-24,ALLARIA - ALYC,453,SENEBI Contado - Compra,[9298] S14M5 - LETRAS DEL TESORO CAP $ V 14/03/25,2452475059.09,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025021887,2025021887,2025-02-24,ALLARIA - ALYC,453,SENEBI Contado - Venta,[9298] S14M5 - LETRAS DEL TESORO CAP $ V 14/03/25,2021826.1,USD,SENEBI,ALLARIA S.A. ALYC
BOL 2025030886,2025030886,2025-03-10,ALLARIA - ALYC,453,SENEBI Contado - Compra,[9256] S31M5,4587000000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025106941,2025106941,2025-07-16,ALLARIA - ALYC,453,SENEBI Contado - Venta,[56638] VSCHO,117770000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025107287,2025107287,2025-07-18,ALLARIA - ALYC,453,SENEBI Contado - Venta,[56638] VSCHO,1315582620.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025110291,2025110291,2025-07-24,ALLARIA - ALYC,453,SENEBI Contado - Venta,[9250] TZXD7,837500000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025130678,2025130678,2025-09-02,ALLARIA - ALYC,453,SENEBI Contado - Venta,[56781] YMCMO,218959950.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025172128,2025172128,2025-10-31,ALLARIA - ALYC,453,SENEBI Contado - Venta,[58579] PN40O,273170000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025173365,2025173365,2025-11-04,ALLARIA - ALYC,453,SENEBI Contado - Venta,[58579] PN40O,210606000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025190437,2025190437,2025-11-28,ALLARIA - ALYC,453,SENEBI Contado - Compra,[5921] AL30,456939926.3,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025202657,2025202657,2025-12-18,ALLARIA - ALYC,453,SENEBI Contado - Venta,[57855] YMCWO,142574000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2026008910,2026008910,2026-01-16,ALLARIA - ALYC,453,SENEBI Contado - Venta,[57485] TLCKO,251844200.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2026038298,2026038298,2026-03-13,ALLARIA - ALYC,453,SENEBI Contado - Compra,[57085] TLCGO,98776080.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025089766,2025089766,2025-06-18,COMAFI,711,SENEBI Contado - Venta,[81086] GD30,290750365.18,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025113355,2025113355,2025-07-30,COMAFI,711,SENEBI Contado - Venta,[81090] GD38,381999.98,USD,SENEBI,BANCO COMAFI S.A.
BOL 2025132645,2025132645,2025-09-05,COMAFI,711,SENEBI Contado - Venta,[56638] VSCHO,1276630000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025143361,2025143361,2025-09-23,COMAFI,711,SENEBI Contado - Venta,[56638] VSCHO,126333801.5,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025152969,2025152969,2025-10-01,COMAFI,711,SENEBI Contado - Compra,[81086] GD30,150000.46,USD,SENEBI,BANCO COMAFI S.A.
BOL 2025154642,2025154642,2025-10-03,COMAFI,711,SENEBI Contado - Compra,[81086] GD30,300000.37,USD,SENEBI,BANCO COMAFI S.A.
BOL 2025155279,2025155279,2025-10-03,COMAFI,711,SENEBI Contado - Venta,[57855] YMCWO,167300400.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025155742,2025155742,2025-10-06,COMAFI,711,SENEBI Contado - Venta,[56982] OLC1O,156716720.01,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025156978,2025156978,2025-10-07,COMAFI,711,SENEBI Contado - Venta,[56982] OLC1O,1407800000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025157519,2025157519,2025-10-08,COMAFI,711,SENEBI Contado - Venta,[56982] OLC1O,590311666.25,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025197871,2025197871,2025-12-11,COMAFI,711,SENEBI Contado - Venta,[9352] D30A6,426000000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025201817,2025201817,2025-12-17,COMAFI,711,SENEBI Contado - Venta,[56885] OTS1O,366432450.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025202808,2025202808,2025-12-19,COMAFI,711,SENEBI Contado - Venta,[81088] GD35,1900000.15,USD,SENEBI,BANCO COMAFI S.A.
BOL 2026025357,2026025357,2026-02-19,COMAFI,711,SENEBI Contado - Compra,[9379] X31L6 - L. T. NAC. AJ. CER A DES. 31/07/26,587916800.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2026032872,2026032872,2026-03-04,COMAFI,711,SENEBI Contado - Compra,[9257] TZXM6,2098500000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2024085491,2024085491,2024-09-27,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[5328] TC25P - BONO TESORO NACIONAL $ CER 4% 27/04/2025,1210294875.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2024104752,2024104752,2024-11-14,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[5328] TC25P - BONO TESORO NACIONAL $ CER 4% 27/04/2025,808500000.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2024128286,2024128286,2025-01-02,BULL MARKET - ALYC,849,SENEBI Contado - Venta,[5921] AL30,999999.75,USD,SENEBI,BULL MARKET BROKERS SA
BOL 2025013679,2025013679,2025-02-05,BULL MARKET - ALYC,849,SENEBI Contado - Compra,[9250] TZXD7,2322750000.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2025165522,2025165522,2025-10-22,BULL MARKET - ALYC,849,SENEBI Contado - Compra,[9315] S31O5,3277750000.0,ARS,SENEBI,BULL MARKET BROKERS SA
BOL 2025016555,2025016555,2025-02-11,ALLARIA - ALYC,453,SENEBI Contado - Venta,[9325] T15E7,1000000.0,USD,SENEBI,ALLARIA S.A. ALYC
BOL 2025130676,2025130676,2025-09-02,ALLARIA - ALYC,453,SENEBI Contado - Venta,[56781] YMCMO,132703000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025202567,2025202567,2025-12-18,ALLARIA - ALYC,453,SENEBI Contado - Venta,[57855] YMCWO,142574000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2025205485,2025205485,2025-12-22,ALLARIA - ALYC,453,SENEBI Contado - Venta,[57639] HJCAO,438501000.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2026008054,2026008054,2026-01-16,ALLARIA - ALYC,453,SENEBI Contado - Venta,[57485] TLCKO,251844200.0,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2026028593,2026028593,2026-02-25,ALLARIA - ALYC,453,SENEBI Contado - Compra,[81088] GD35,250000.24,USD,SENEBI,ALLARIA S.A. ALYC
BOL 2026033768,2026033768,2026-03-05,ALLARIA - ALYC,453,SENEBI Contado - Compra,[57800] TLCLO,88839412.14,ARS,SENEBI,ALLARIA S.A. ALYC
BOL 2023048199,2023048199,2023-12-22,COMAFI,711,SENEBI Contado - Venta,[42777] BGD24,20000000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2024018173,2024018173,2024-03-18,COMAFI,711,SENEBI Contado - Venta,[56967] TBC9O,296400000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2024060667,2024060667,2024-07-19,COMAFI,711,SENEBI Contado - Venta,[81088] GD35,1161977.2,USD,SENEBI,BANCO COMAFI S.A.
BOL 2025113320,2025113320,2025-07-30,COMAFI,711,SENEBI Contado - Compra,[9236] BPOC7,697620000.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025134841,2025134841,2025-09-11,COMAFI,711,SENEBI Contado - Venta,[57855] YMCWO,367914250.0,ARS,SENEBI,BANCO COMAFI S.A.
BOL 2025135737,2025135737,2025-09-12,COMAFI,711,SENEBI Contado - Compra,[55025] PN7CO,718229000.0,ARS,SENEBI,BANCO COMAFI S.A.
