comprobante,numero,fecha,contraparte,id_cuenta,cuenta,categoria,op,ticker,cantidad,precio,importe,moneda,unidad,plazo,estado,informacion
BOL 2026054192,2026054192,2026-04-10,MAX,1001,[1001] FCI MAX ESTRATEGICO II,venta,Venta,T30J6,0.0,137.3,0.0,ARS,,Inm NG,DIS,"Venta [T30J6] 20.000.000,00@137,30 (ARS Inm NG)"
BOL 2026054534,2026054534,2026-04-10,MAX,1001,[1001] FCI MAX ESTRATEGICO II,venta,Venta,S30A6,0.0,125.93,0.0,ARS,,Inm NG,DIS,"Venta [S30A6] 20.000.000,00@125,93 (ARS Inm NG)"
CD 2025001213,2025001213,2025-03-10,ADCAP,1026,[1026] FCI ADCAP ACCIONES,deposito,,,,,3500000.0,ARS,,,DIS,Depósito
BOL 2025124494,2025124494,2025-08-21,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,-1000.0,,,,,,DIS,"Venta DLR092025 1.000,00@1384,50 (ARS)"
BOL 2025124491,2025124491,2025-08-21,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,1000.0,,-313874.0,ARS,,,DIS,"Compra DLR092025 1.000,00@1384,50 (ARS)"
NC 2025001084,2025001084,2025-08-21,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,,,313874.0,ARS,,,DIS,Crédito en cuenta - Reconocimiento de DDM por reasignación de operación
ND 2025000444,2025000444,2025-03-31,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,,,-2062485.3599999999,ARS,,,DIS, Derecho Registro Futuro DLR (Interferencia) - TC: 1064.63 (285133)
CD 2025001214,2025001214,2025-03-10,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,deposito,,,,,1029564.8,ARS,,,DIS,Depósito
CD 2025001175,2025001175,2025-03-07,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,deposito,,,,,1286835.0,ARS,,,DIS,Depósito
CE 2025000957,2025000957,2025-03-07,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,extraccion,,,,,-2000000.0,ARS,,,DIS,Extracción - TR 20250307121035
(#7425441),7425441,2025-03-07,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,,,0.0,ARS,,,DIS,Res. Futuros - Comit. 285133 (Rl)
BOL 2025030296,2025030296,2025-03-07,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,-1000.0,,-257391.2,ARS,,,DIS,"Venta DLR042025 1.000,00@1106,00 (ARS)"
BOL 2025030299,2025030299,2025-03-07,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,-10.0,,-2573.91,ARS,,,DIS,"Venta DLR042025 10,00@1106,00 (ARS)"
BOL 2025030297,2025030297,2025-03-07,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,-1000.0,,-257391.2,ARS,,,DIS,"Venta DLR042025 1.000,00@1106,00 (ARS)"
BOL 2025030298,2025030298,2025-03-07,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,-410.0,,-105530.39,ARS,,,DIS,"Venta DLR042025 410,00@1106,00 (ARS)"
BOL 2025030300,2025030300,2025-03-07,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,-580.0,,-149286.9,ARS,,,DIS,"Venta DLR042025 580,00@1106,00 (ARS)"
BOL 2025030301,2025030301,2025-03-07,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,-1000.0,,-257391.2,ARS,,,DIS,"Venta DLR042025 1.000,00@1106,00 (ARS)"
BOL 2025028855,2025028855,2025-03-06,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,1000.0,,-321708.75,ARS,,,DIS,"Compra DLR042025 1.000,00@1105,50 (ARS)"
BOL 2025028893,2025028893,2025-03-06,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,1000.0,,-321708.75,ARS,,,DIS,"Compra DLR042025 1.000,00@1105,50 (ARS)"
BOL 2025028973,2025028973,2025-03-06,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,1000.0,,-321708.75,ARS,,,DIS,"Compra DLR042025 1.000,00@1105,50 (ARS)"
BOL 2025028974,2025028974,2025-03-06,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,1000.0,,-321708.75,ARS,,,DIS,"Compra DLR042025 1.000,00@1105,50 (ARS)"
CLD 2025017383,2025017383,2025-03-06,SCHRODER,1027,[1027] SCHRODER CRECIMIENTO,otro,,,,,2000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042025] - 06/03/2025 - Cierre 1106,00"
CD 2026002790,2026002790,2026-06-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,deposito,,,,,2045577.6,ARS,,,DIS,Depósito
NT 2026006769,2026006769,2026-06-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-31242400.0,ARS,,,DIS,Ingresos Schroders
BOL 2026086827,2026086827,2026-05-29,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,-6000.0,,-2045577.6,ARS,,,DIS,"Venta DLR052026 6.000,00@1410,2904 (ARS)"
BOL 2026084810,2026084810,2026-05-27,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-426525.0,ARS,,,DIS,"Compra DLR062026 1.000,00@1438,00 (ARS)"
BOL 2026084811,2026084811,2026-05-27,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-426525.0,ARS,,,DIS,"Compra DLR062026 1.000,00@1438,00 (ARS)"
BOL 2026084860,2026084860,2026-05-27,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-426525.0,ARS,,,DIS,"Compra DLR062026 1.000,00@1438,00 (ARS)"
NT 2026006553,2026006553,2026-05-26,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-114000000.0,ARS,,,DIS,INGRESOS SCHRODERS
NT 2026005659,2026005659,2026-05-08,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-60000000.0,ARS,,,DIS,Ingresos Schroders
CLD 2026040703,2026040703,2026-05-06,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-30000000.0,ARS,,,DIS,"Diferencias diarias - [DLR062026] - 06/05/2026 - Cierre 1430,50"
CLD 2026040695,2026040695,2026-05-06,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-39000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 06/05/2026 - Cierre 1404,50"
NT 2026005412,2026005412,2026-05-05,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-63000000.0,ARS,,,DIS,Ingresos Schroders
CLD 2026040202,2026040202,2026-05-05,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-69000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 05/05/2026 - Cierre 1411,00"
CLD 2026040214,2026040214,2026-05-05,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-46000000.0,ARS,,,DIS,"Diferencias diarias - [DLR062026] - 05/05/2026 - Cierre 1438,00"
CD 2026002259,2026002259,2026-05-04,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,deposito,,,,,7778485.0,ARS,,,DIS,Depósito
CLD 2026039298,2026039298,2026-05-04,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,39000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 04/05/2026 - Cierre 1422,50"
CLD 2026039308,2026039308,2026-05-04,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,24000000.0,ARS,,,DIS,"Diferencias diarias - [DLR062026] - 04/05/2026 - Cierre 1449,50"
NT 2026005336,2026005336,2026-05-04,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,210305800.0,ARS,,,DIS,Ingresos Schroders
(#8149341),8149341,2026-04-30,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,0.0,ARS,,,DIS,Res. Futuros - Comit. 281609 (Rl)
BOL 2026069721,2026069721,2026-04-30,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,-23000.0,,-7778485.0,ARS,,,DIS,"Venta [DLR042026] 23.000,00@1381,0954 (ARS)"
CLD 2026038797,2026038797,2026-04-30,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-239305800.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 30/04/2026 - Cierre 1381,0954"
CLD 2026038816,2026038816,2026-04-30,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,15000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 30/04/2026 - Cierre 1416,00"
CLD 2026038828,2026038828,2026-04-30,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,14000000.0,ARS,,,DIS,"Diferencias diarias - [DLR062026] - 30/04/2026 - Cierre 1443,50"
NT 2026005247,2026005247,2026-04-30,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,476500000.0,ARS,,,DIS,Ingresos Schroders
CD 2026002189,2026002189,2026-04-29,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,deposito,,,,,1706100.0,ARS,,,DIS,Depósito
CLD 2026038292,2026038292,2026-04-29,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-81000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 29/04/2026 - Cierre 1413,50"
CLD 2026038276,2026038276,2026-04-29,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-333500000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 29/04/2026 - Cierre 1391,50"
CLD 2026038301,2026038301,2026-04-29,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-62000000.0,ARS,,,DIS,"Diferencias diarias - [DLR062026] - 29/04/2026 - Cierre 1440,00"
CLD 2026037725,2026037725,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-264500000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 28/04/2026 - Cierre 1406,00"
BOL 2026065771,2026065771,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-426525.0,ARS,,,DIS,"Compra DLR062026 1.000,00@1452,50 (ARS)"
BOL 2026065827,2026065827,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-426525.0,ARS,,,DIS,"Compra DLR062026 1.000,00@1452,50 (ARS)"
BOL 2026065982,2026065982,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-426525.0,ARS,,,DIS,"Compra DLR062026 1.000,00@1453,50 (ARS)"
BOL 2026066181,2026066181,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-426525.0,ARS,,,DIS,"Compra DLR062026 1.000,00@1454,00 (ARS)"
CLD 2026037741,2026037741,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-69000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 28/04/2026 - Cierre 1427,00"
CLD 2026037754,2026037754,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,2000000.0,ARS,,,DIS,"Diferencias diarias - [DLR062026] - 28/04/2026 - Cierre 1455,50"
CLD 2026037755,2026037755,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,1500000.0,ARS,,,DIS,"Diferencias diarias - [DLR062026] - 28/04/2026 - Cierre 1455,50"
CLD 2026037753,2026037753,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,6000000.0,ARS,,,DIS,"Diferencias diarias - [DLR062026] - 28/04/2026 - Cierre 1455,50"
NT 2026005074,2026005074,2026-04-28,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-397000000.0,ARS,,,DIS,Ingresos Schoders
CLD 2026037391,2026037391,2026-04-27,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,75000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 27/04/2026 - Cierre 1438,50"
NT 2026004996,2026004996,2026-04-27,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-188500000.0,ARS,,,DIS,Ingresos Schroder
CLD 2026037375,2026037375,2026-04-27,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,322000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 27/04/2026 - Cierre 1417,50"
NT 2026004968,2026004968,2026-04-24,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-380000000.0,ARS,,,DIS,Ingresos Schroders
CLD 2026036891,2026036891,2026-04-24,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,149500000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 24/04/2026 - Cierre 1403,50"
CLD 2026036907,2026036907,2026-04-24,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,39000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 24/04/2026 - Cierre 1426,00"
CLD 2026036373,2026036373,2026-04-23,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,81000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 23/04/2026 - Cierre 1419,50"
CLD 2026036358,2026036358,2026-04-23,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,299000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 23/04/2026 - Cierre 1397,00"
CLD 2026035851,2026035851,2026-04-22,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,69000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 22/04/2026 - Cierre 1384,00"
CLD 2026035866,2026035866,2026-04-22,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,24000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 22/04/2026 - Cierre 1406,00"
CLD 2026035345,2026035345,2026-04-21,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-46000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 21/04/2026 - Cierre 1381,00"
NT 2026004663,2026004663,2026-04-21,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-287000000.0,ARS,,,DIS,Ingresos Schroders
CLD 2026035362,2026035362,2026-04-21,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-9000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 21/04/2026 - Cierre 1402,00"
CLD 2026035306,2026035306,2026-04-20,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,230000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 20/04/2026 - Cierre 1383,00"
CLD 2026035323,2026035323,2026-04-20,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,57000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 20/04/2026 - Cierre 1403,50"
NT 2026004597,2026004597,2026-04-20,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-191500000.0,ARS,,,DIS,Ingresos Schroders
CLD 2026034350,2026034350,2026-04-17,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,149500000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 17/04/2026 - Cierre 1373,00"
CLD 2026034365,2026034365,2026-04-17,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,42000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 17/04/2026 - Cierre 1394,00"
CLD 2026033843,2026033843,2026-04-16,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-92000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 16/04/2026 - Cierre 1366,50"
CLD 2026033859,2026033859,2026-04-16,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-30000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 16/04/2026 - Cierre 1387,00"
CLD 2026033390,2026033390,2026-04-15,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-161000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 15/04/2026 - Cierre 1370,50"
CLD 2026033405,2026033405,2026-04-15,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-42000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 15/04/2026 - Cierre 1392,00"
CLD 2026032930,2026032930,2026-04-14,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,218500000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 14/04/2026 - Cierre 1377,50"
CLD 2026032946,2026032946,2026-04-14,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,51000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 14/04/2026 - Cierre 1399,00"
CLD 2026032442,2026032442,2026-04-13,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-437000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 13/04/2026 - Cierre 1368,00"
CLD 2026032456,2026032456,2026-04-13,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-117000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 13/04/2026 - Cierre 1390,50"
NT 2026004297,2026004297,2026-04-13,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,313500000.0,ARS,,,DIS,Ingresos Schroders
CLD 2026031958,2026031958,2026-04-10,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-241500000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 10/04/2026 - Cierre 1387,00"
CLD 2026031972,2026031972,2026-04-10,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-72000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 10/04/2026 - Cierre 1410,00"
CLD 2026031463,2026031463,2026-04-09,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-48000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 09/04/2026 - Cierre 1422,00"
NT 2026004115,2026004115,2026-04-09,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,275500000.0,ARS,,,DIS,Ingresos Schroders
CLD 2026031449,2026031449,2026-04-09,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-161000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 09/04/2026 - Cierre 1397,50"
CLD 2026030926,2026030926,2026-04-08,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-218500000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 08/04/2026 - Cierre 1404,50"
CLD 2026030941,2026030941,2026-04-08,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-57000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 08/04/2026 - Cierre 1430,00"
CLD 2026030453,2026030453,2026-04-07,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,12000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 07/04/2026 - Cierre 1439,50"
CLD 2026030438,2026030438,2026-04-07,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,46000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 07/04/2026 - Cierre 1414,00"
NT 2026003999,2026003999,2026-04-07,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,122000000.0,ARS,,,DIS,Ingresos Schroders
CD 2026001751,2026001751,2026-04-06,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,deposito,,,,,5428816.25,ARS,,,DIS,Depósito
CLD 2026029479,2026029479,2026-04-06,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-92000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 06/04/2026 - Cierre 1412,00"
CLD 2026029495,2026029495,2026-04-06,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-30000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 06/04/2026 - Cierre 1437,50"
NT 2026003931,2026003931,2026-04-06,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-107500000.0,ARS,,,DIS,Ingresos Schroder
CD 2026001744,2026001744,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,deposito,,,,,6398117.0,ARS,,,DIS,Depósito
BOL 2026048966,2026048966,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-417601.25,ARS,,,DIS,"Compra [DLR042026] 1.000,00@1410,00 (ARS)"
BOL 2026049028,2026049028,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-417601.25,ARS,,,DIS,"Compra DLR052026 1.000,00@1437,50 (ARS)"
BOL 2026049082,2026049082,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-417601.25,ARS,,,DIS,"Compra DLR052026 1.000,00@1440,00 (ARS)"
BOL 2026049104,2026049104,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-417601.25,ARS,,,DIS,"Compra DLR052026 1.000,00@1442,00 (ARS)"
BOL 2026049136,2026049136,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-417601.25,ARS,,,DIS,"Compra [DLR042026] 1.000,00@1417,50 (ARS)"
BOL 2026048968,2026048968,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-417601.25,ARS,,,DIS,"Compra [DLR042026] 1.000,00@1410,00 (ARS)"
BOL 2026049140,2026049140,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,4000.0,,-1670405.0,ARS,,,DIS,"Compra [DLR042026] 4.000,00@1417,00 (ARS)"
BOL 2026049142,2026049142,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-417601.25,ARS,,,DIS,"Compra DLR052026 1.000,00@1443,50 (ARS)"
BOL 2026049143,2026049143,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-417601.25,ARS,,,DIS,"Compra DLR052026 1.000,00@1443,50 (ARS)"
BOL 2026049144,2026049144,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,1000.0,,-417601.25,ARS,,,DIS,"Compra DLR052026 1.000,00@1443,50 (ARS)"
CLD 2026028940,2026028940,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,108000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 01/04/2026 - Cierre 1416,00"
CLD 2026028941,2026028941,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-4000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 01/04/2026 - Cierre 1416,00"
CLD 2026028942,2026028942,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-1500000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 01/04/2026 - Cierre 1416,00"
CLD 2026028957,2026028957,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,5000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 01/04/2026 - Cierre 1442,50"
CLD 2026028958,2026028958,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,2500000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 01/04/2026 - Cierre 1442,50"
CLD 2026028959,2026028959,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,500000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 01/04/2026 - Cierre 1442,50"
CLD 2026028960,2026028960,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-3000000.0,ARS,,,DIS,"Diferencias diarias - [DLR052026] - 01/04/2026 - Cierre 1442,50"
NT 2026003839,2026003839,2026-04-01,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,505601800.0,ARS,,,DIS,Ingresos Schroders
(#8093215),8093215,2026-03-31,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,0.0,ARS,,,DIS,Res. Futuros - Comit. 281609 (Rl)
CLD 2026028469,2026028469,2026-03-31,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-289601800.0,ARS,,,DIS,"Diferencias diarias - [DLR032026] - 31/03/2026 - Cierre 1382,7578"
BOL 2026048962,2026048962,2026-03-31,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,-19000.0,,-6398117.0,ARS,,,DIS,"Venta DLR032026 19.000,00@1382,7578 (ARS)"
CLD 2026028478,2026028478,2026-03-31,SCHRODER,1029,[1029] SCHRODER PATRIMONIO DOS,otro,,,,,-216000000.0,ARS,,,DIS,"Diferencias diarias - [DLR042026] - 31/03/2026 - Cierre 1410,00"
