ts,db,coll,op,ms,status,filter
20:32:22.321,Opciones,,getMore,1726,ok,{'batchSize': None}
20:32:20.898,Opciones,,getMore,399.5,ok,{'batchSize': None}
20:32:20.540,Opciones,OptionsSnapshot,find,357.9,ok,{}
20:32:24.661,admin,,ping,205.1,ok,
20:33:08.770,CashFlow,Flujo,distinct,195.4,ok,
20:32:22.127,Opciones,Data,find,194,ok,"{'symbol': {'$in': ['MERV - XMEV - GFGC71487A - 24hs', 'MERV - XMEV - GFGC71747A - 24hs']}, 'timestamp': {'$gte': datetime.datetime(2026, 4,..."
20:30:37.391,Valuaciones,AuM,find,193.6,ok,"{'fecha_snapshot': {'$exists': True, '$nin': [None, '']}}"
20:30:47.662,Valuaciones,AuM,find,191.7,ok,"{'fecha_snapshot': {'$exists': True, '$nin': [None, '']}}"
20:30:57.836,admin,,ping,191.1,ok,
20:30:39.032,admin,,ping,190.2,ok,
20:30:57.105,admin,,ping,190,ok,
20:30:45.482,Trading,BreakevensLive,find,188.2,ok,{'updated_at': {'$exists': True}}
20:33:09.691,Manager,ChangeLog,find,187.6,ok,"{'where': {'$in': ['Valuaciones.Assets']}, 'action': {'$in': ['set_portfolio']}}"
20:30:46.034,admin,,ping,187.3,ok,
20:30:48.761,CashFlow,Flujo,find,187.2,ok,"{'concertacion': {'$exists': True, '$nin': [None, '']}}"
20:30:36.122,admin,,ping,186.9,ok,
20:32:24.867,Opciones,DataHistorica,aggregate,186.4,ok,"[{'$match': {'fecha': {'$gte': '2026-03-26'}, 'ev': {'$gt': 0}, 'strike': {'$exists': True}, 'tipo': {'$exists': True}}}, {'$group': {'_id':..."
20:30:44.757,Trading,MarketSnapshot,find,186.3,ok,{'updated_at': {'$exists': True}}
20:30:47.854,admin,,ping,186,ok,
20:30:39.797,admin,,ping,185.5,ok,
20:33:08.575,CashFlow,Flujo,distinct,185.3,ok,
20:30:39.606,CashFlow,Flujo,distinct,185.2,ok,
20:30:39.412,CashFlow,Flujo,distinct,185.2,ok,
20:30:34.498,Trading,MarketSnapshot,find,184.6,ok,{'updated_at': {'$exists': True}}
20:30:56.560,Trading,TAMAR,find,184.3,ok,"{'fecha': {'$exists': True, '$nin': [None, '']}}"
20:30:39.223,CashFlow,Flujo,aggregate,183.4,ok,"[{'$group': {'_id': '$tipoOperacion', 'cantidad': {'$sum': 1}}}, {'$sort': {'cantidad': -1}}]"
20:33:03.337,Trading,TimeSales,find,183.3,ok,{'timestamp': {'$exists': True}}
20:30:44.573,admin,,ping,183.3,ok,
20:33:08.387,CashFlow,Flujo,aggregate,183.2,ok,"[{'$group': {'_id': '$tipoOperacion', 'cantidad': {'$sum': 1}}}, {'$sort': {'cantidad': -1}}]"
20:32:21.298,Opciones,Metadata,find,182.4,ok,{'type': 'vr_ggal'}
20:30:48.040,Valuaciones,Carteras,find,182.2,ok,"{'timestamp': {'$exists': True, '$nin': [None, '']}}"
20:32:25.054,Opciones,,getMore,181.9,ok,{'batchSize': None}
20:33:06.219,Trading,BADLAR,find,181.3,ok,"{'fecha': {'$exists': True, '$nin': [None, '']}}"
20:30:36.309,Trading,TAMAR,find,181.3,ok,"{'fecha': {'$exists': True, '$nin': [None, '']}}"
20:30:54.400,Trading,TimeSales,find,181,ok,{'timestamp': {'$exists': True}}
20:30:47.301,Trading,BADLAR,find,181,ok,"{'fecha': {'$exists': True, '$nin': [None, '']}}"
20:30:56.924,Trading,DOLAR,find,180.9,ok,"{'fecha': {'$exists': True, '$nin': [None, '']}}"
20:30:46.941,Trading,DOLAR,find,180.8,ok,"{'fecha': {'$exists': True, '$nin': [None, '']}}"
20:33:05.859,Trading,DOLAR,find,180.8,ok,"{'fecha': {'$exists': True, '$nin': [None, '']}}"
20:30:57.296,Trading,BADLAR,find,180.8,ok,"{'fecha': {'$exists': True, '$nin': [None, '']}}"
