;AL30C
22/4/2026; 61,45 
21/4/2026; 61,47 
20/4/2026; 61,98 
17/4/2026; 62,01 
16/4/2026; 61,93 
15/4/2026; 61,74 
14/4/2026; 61,70 
13/4/2026; 61,25 
10/4/2026; 60,46 
9/4/2026; 60,37 
8/4/2026; 59,99 
7/4/2026; 59,55 
6/4/2026; 59,42 
1/4/2026; 59,25 
31/3/2026; 59,00 
30/3/2026; 58,46 
27/3/2026; 58,59 
26/3/2026; 59,02 
25/3/2026; 59,20 
20/3/2026; 58,22 
19/3/2026; 59,07 
18/3/2026; 59,07 
17/3/2026; 59,37 
16/3/2026; 59,04 
13/3/2026; 58,85 
12/3/2026; 59,09 
11/3/2026; 59,61 
10/3/2026; 59,23 
9/3/2026; 58,84 
6/3/2026; 58,83 
5/3/2026; 58,90 
4/3/2026; 59,37 
3/3/2026; 58,50 
2/3/2026; 59,04 
27/2/2026; 58,55 
26/2/2026; 59,25 
25/2/2026; 59,17 
24/2/2026; 59,17 
23/2/2026; 59,31 
20/2/2026; 59,70 
19/2/2026; 59,86 
18/2/2026; 59,95 
13/2/2026; 60,00 
12/2/2026; 59,91 
11/2/2026; 60,30 
10/2/2026; 60,09 
9/2/2026; 59,80 
6/2/2026; 59,03 
5/2/2026; 58,93 
4/2/2026; 58,70 
3/2/2026; 58,50 
2/2/2026; 58,77 
30/1/2026; 58,94 
29/1/2026; 58,85 
28/1/2026; 59,08 
27/1/2026; 59,31 
26/1/2026; 59,10 
23/1/2026; 58,67 
22/1/2026; 57,96 
21/1/2026; 57,48 
20/1/2026; 57,38 
19/1/2026; 57,55 
16/1/2026; 57,61 
15/1/2026; 57,66 
14/1/2026; 57,31 
13/1/2026; 57,40 
12/1/2026; 57,40 
9/1/2026; 57,58 
8/1/2026; 57,13 
7/1/2026; 65,50 
6/1/2026; 65,38 
5/1/2026; 65,20 
2/1/2026; 65,25 
