ticker,nombre,rubro,es_ia
ABT,ABBOTT LABORATORIES,Salud y pharma,NO
MO,"ALTRIA GROUP, INC",Consumo basico,NO
AXP,AMERICAN EXPRESS Co.,Financiero,NO
AMGN,AMGEN INC.,Salud y pharma,NO
ADI,ANALOG DEVICES INC.,Diseno de chips,SI
AAPL,APPLE INC.,Tecnologia,NO
AMAT,APPLIED MATERIALS INC.,Equipos de fabricacion,SI
T,AT&T INC,Telecom,NO
AZN,ASTRAZENECA PLC,Salud y pharma,NO
BAC,BANK OF AMERICA CORPORATION,Financiero,NO
BA,BOEING Co.,Industriales,NO
BMY,BRISTOL MYERS SQUIBB COMPANY,Salud y pharma,NO
CAT,CATERPILLAR Inc.,Industriales,NO
CVX,CHEVRON CORP,Energia,NO
CSCO,CISCO SYSTEMS  Inc.,Redes e interconexion,SI
C,CITIGROUP INCORPORATED,Financiero,NO
KO,COCA COLA Co.,Consumo basico,NO
CL,COLGATE PALMOLIVE COMPANY,Consumo basico,NO
GLW,CORNING INCORPORATED,Redes e interconexion,SI
COST,COSTCO WHOLSALE CORP,Consumo basico,NO
DE,DEERE & COMPANY,Industriales,NO
DEO,DIAGEO PLC ADR,Consumo basico,NO
DIS,DISNEY COMMON STOCK,Comunicaciones,NO
LLY,ELI LILLY AND COMPANY,Salud y pharma,NO
XOM,EXXON MOBIL CORPORATION,Energia,NO
FDX,FEDEX CORP,Industriales,NO
GE,GE AEROSPACE.,Industriales,NO
GOOGL,"Alphabet Inc. CL  ""A""",Cloud hyperscalers,SI
HPQ,HP Inc,Tecnologia,NO
HHPD LI,HON HAI PRECISION INDUSTRY CO. LTD.,Servers y hardware,SI
HON,HONEYWELL INTERNATIONAL INC. (ex Allied S.),Industriales,NO
IBM,IBM Corp.,Cloud hyperscalers,SI
INFY,INFOSYS LIMITED,Software y modelos,SI
INTC,INTEL  Corporation,Foundry,SI
JNJ,JOHNSON & JOHNSON,Salud y pharma,NO
KMB,KIMBERLY CLARK CORPORATION,Consumo basico,NO
LVS,LAS VEGAS SANDS CORP.,Consumo discrecional,NO
ERIC,LM ERICSSON TELEPHONE Co. ADR,Redes e interconexion,SI
LMT,LOCKHEED MARTIN CORPORATION,Defensa,NO
MDT,MEDTRONIC PLC,Salud y pharma,NO
MELI,MERCADOLIBRE INC.,Aplicacion final,SI
MRK,MERCK & Co. Inc.,Salud y pharma,NO
MSFT,MICROSOFT CORPORATION,Cloud hyperscalers,SI
MMM,3M COMPANY,Industriales,NO
MSI,MOTOROLA SOLUTIONS Inc.,Comunicaciones,NO
NGG,NATIONAL GRID PLC-SP  ADR,Utilities,NO
NKE,NIKE Inc.,Consumo discrecional,NO
NOK,NOKIA CORPORATION ADR,Redes e interconexion,SI
NVS,NOVARTIS AG - ADR,Salud y pharma,NO
ORCL,ORACLE CORPORATION,Cloud hyperscalers,SI
PEP,PEPSICO INC,Consumo basico,NO
PFE,PFIZER INC,Salud y pharma,NO
PG,PROCTER & GAMBLE Co.,Consumo basico,NO
QCOM,QUALCOMM INCORPORATED,Aceleradores y chips,SI
SMSN LI,SAMSUNG ELECTRONICS CO. LTD.,Foundry,SI
SAP,SAP SE,Software y modelos,SI
SBUX,STARBUCKS CORPORATION,Consumo discrecional,NO
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING,Foundry,SI
TXN,TEXAS INSTRUMENTS INCORPORATED,Diseno de chips,SI
HSY,THE HERSHEY COMPANY,Consumo basico,NO
HD,HOME DEPOT INC.,Consumo discrecional,NO
UL,UNILEVER PLC-SPONSORED ADR,Consumo basico,NO
RTX,RTX CORPORATION,Defensa,NO
VZ,VERIZON COMMUNICATIONS INC.,Telecom,NO
WMT,WALMART Inc.,Consumo basico,NO
WFC,WELLS FARGO & COMPANY,Financiero,NO
META,META PLATFORMS INC.,Cloud hyperscalers,SI
AMZN,"AMAZON.COM, INC.",Cloud hyperscalers,SI
NVDA,NVIDIA CORPORATION,Aceleradores y chips,SI
ADBE,ADOBE SYSTEMS INCORPORATED,Software y modelos,SI
BIIB,BIOGEN INC.,Salud y pharma,NO
GILD,"GILEAD SCIENCES, INC.",Salud y pharma,NO
NFLX,"NETFLIX, INC.",Comunicaciones,NO
TMO,THERMO FISHER SCIENTIFIC INC.,Salud y pharma,NO
PYPL,"PAYPAL HOLDINGS, INC.",Financiero,NO
CRM,SALESFORCE INC.,Software y modelos,SI
TSLA,"TESLA, INC.",Aplicacion final,SI
AMD,"ADVANCED MICRO DEVICES, INC.",Aceleradores y chips,SI
TGT,TARGET CORPORATION,Consumo discrecional,NO
GS,"THE GOLDMAN SACHS GROUP, INC",Financiero,NO
V,VISA INC,Financiero,NO
GLOB,GLOBANT S.A.,Software y modelos,SI
BABA,ALIBABA GROUP HOLDING LIMITED*,Aplicacion final,SI
BIDU,"BAIDU, INC.",Aplicacion final,SI
PBR,PETROLEO BRASILEIRO - PETROBRAS (ADR),Energia,NO
VIST,VISTA ENERGY S.A.B. de C.V (ADS),Energia,NO
ABBV,ABBVIE INC,Salud y pharma,NO
BRK/B,BERKSHIRE HATHAWAY INC,Financiero,NO
AVGO,BROADCOM INC,Aceleradores y chips,SI
MA,MASTERCARD INC,Financiero,NO
UNP,UNION PACIFIC CORP,Industriales,NO
UNH,UNITEDHEALTH GROUP INC,Salud y pharma,NO
XYZ,"BLOCK, INC",Criptomonedas,NO
SNOW,SNOWFLAKE INC,Software y modelos,SI
COIN,COINBASE GLOBAL INC,Criptomonedas,NO
LRCX,LAM RESEARCH CORP,Equipos de fabricacion,SI
EA,ELECTRONIC ARTS INC,Tecnologia,NO
GM,GENERAL MOTORS CO,Consumo discrecional,NO
NIO,NIO INC,Aplicacion final,SI
MRVL,MARVELL TECHNOLOGY INC,Aceleradores y chips,SI
PLTR,PALANTIR TECHNOLOGIES INC,Software y modelos,SI
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumo basico,NO
CVS,CVS HEALTH CORP.,Consumo basico,NO
MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumo basico,NO
ACN,ACCENTURE PLC,Software y modelos,SI
SCHW,CHARLES SCHWAB CORP.,Financiero,NO
MRNA,MODERNA INC.,Salud y pharma,NO
BKNG,BOOKING HOLDINGS INC.,Consumo discrecional,NO
TMUS,T-MOBILE US INC.,Telecom,NO
SPCE,VIRGIN GALACTIC HOLDINGS INC.,Espacial,NO
RIOT,RIOT PLATFORMS INC.,Criptomonedas,NO
SWKS,SKYWORKS SOLUTIONS INC.,Diseno de chips,SI
BKR,BAKER HUGHES CO.,Energia,NO
DHR,DANAHER CORP.,Salud y pharma,NO
ISRG,INTUITIVE SURGICAL INC.,Aplicacion final,SI
NXE,NEXGEN ENERGY LTD,Energia datacenters,SI
ARM,ARM HOLDINGS PLC,Diseno de chips,SI
IBIT,ISHARES BITCOIN TRUST,Criptomonedas,NO
IVW,iShares S&P 500 Growth ETF,Indice / ETF,SI
XLC,State Street Communication Services Select Sector SPDR ETF,Indice / ETF,NO
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,Indice / ETF,NO
XLB,State Street Materials Select Sector SPDR ETF,Indice / ETF,NO
XLI,State Street Industrials Select Sector SPDR ETF,Indice / ETF,NO
XLK,State Street Technology Select Sector SPDR ETF,Indice / ETF,SI
XLV,State Street Health Care Select Sector SPDR ETF,Indice / ETF,NO
XLP,State Street Consumer Staples Select Sector SPDR ETF,Indice / ETF,NO
XPEV,XPENG INC,Aplicacion final,SI
ASML,ASML HOLDING NV,Equipos de fabricacion,SI
AI,C3.AI INC,Software y modelos,SI
CLS,CELESTICA INC,Servers y hardware,SI
CEG,CONSTELLATION ENERGY CORPORATION,Energia datacenters,SI
RGTI,RIGETTI COMPUTING INC,Cuantica,SI
NOW,SERVICENOW INC,Software y modelos,SI
TEM,TEMPUS AI INC,Software y modelos,SI
PATH,UIPATH INC,Software y modelos,SI
VST,VISTRA CORPORATION,Energia datacenters,SI
EFA,iShares MSCI EAFE ETF,Indice / ETF,NO
IEMG,iShares Core MSCI Emerging Markets ETF,Indice / ETF,NO
HOOD,ROBINHOOD MARKETS INC,Criptomonedas,NO
CRWV,COREWEAVE INC,Neoclouds,SI
OKLO,OKLO INC,Energia datacenters,SI
RKLB,ROCKET LAB CORP,Espacial,NO
ALAB,ASTERA LABS INC,Redes e interconexion,SI
ASTS,AST SPACEMOBILE INC,Espacial,NO
IREN,IREN LTD,Neoclouds,SI
BMNR,"BITMINE INMERSION TECHNOLOGIES, INC.",Criptomonedas,NO
BX,BLACKSTONE INC.,Financiero,NO
IVV,ISHARES CORE S&P 500 ETF,Indice / ETF,NO
CRWD,"CROWDSTRIKE HOLDINGS, INC.",Ciberseguridad,SI
ANET,ARISTA NETWORKS INC.,Redes e interconexion,SI
O,REALTY INCOME CORP.,REITs,NO
SNDK,SANDISK CORPORATION,Memoria y storage,SI
NBIS,NEBIUS GROUP N.V.,Neoclouds,SI
ONDS,ONDAS HOLDINGS INC.,Drones y edge,SI
COP,CONOCOPHILLIPS,Energia,NO
NEE,"NEXTERA ENERGY, INC.",Energia datacenters,SI
CCJ,CAMECO CORPORATION,Energia datacenters,SI
NVO,NOVO NORDISK A/S,Salud y pharma,NO
SPCX,SPACE EXPLORATION TECHNOLOGIES CORP.,Espacial,NO
ETHA,iShares Ethereum Trust ETF,Criptomonedas,NO
MSTR,MicroStrategy (Strategy),Criptomonedas,NO
HUT,Hut 8 Mining,Criptomonedas,NO
KEEL,Bitfarms,Criptomonedas,NO
