Cupón,Fecha de pago,Amortización,Amortización,Interés,Interés,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos simulado,Flujo de fondos simulado,Flujo de fondos simulado
#,Efectiva,Amortización (vn),Valor residual,Tasa de interés,Interés (vn),Amortización,Interés,Total,Amortización,Interés,Total
1.00,2021-07-12T00:00:00.000Z,0.00%,100.00%,0.13%,0.11%,0.00,0.11,0.11,0.00,1059.03,1059.03
2.00,2022-01-10T00:00:00.000Z,0.00%,100.00%,2.00%,1.00%,0.00,1.00,1.00,0.00,10000.00,10000.00
3.00,2022-07-11T00:00:00.000Z,0.00%,100.00%,2.00%,1.00%,0.00,1.00,1.00,0.00,10000.00,10000.00
4.00,2023-01-09T00:00:00.000Z,0.00%,100.00%,3.88%,1.94%,0.00,1.94,1.94,0.00,19375.00,19375.00
5.00,2023-07-10T00:00:00.000Z,0.00%,100.00%,3.88%,1.94%,0.00,1.94,1.94,0.00,19375.00,19375.00
6.00,2024-01-09T00:00:00.000Z,0.00%,100.00%,4.25%,2.13%,0.00,2.13,2.13,0.00,21250.00,21250.00
7.00,2024-07-10T00:00:00.000Z,0.00%,100.00%,4.25%,2.13%,0.00,2.13,2.13,0.00,21250.00,21250.00
8.00,2025-01-09T00:00:00.000Z,0.00%,100.00%,5.00%,2.50%,0.00,2.50,2.50,0.00,25000.00,25000.00
9.00,2025-07-10T00:00:00.000Z,0.00%,100.00%,5.00%,2.50%,0.00,2.50,2.50,0.00,25000.00,25000.00
10.00,2026-01-09T00:00:00.000Z,0.00%,100.00%,5.00%,2.50%,0.00,2.50,2.50,0.00,25000.00,25000.00
11.00,2026-07-13T00:00:00.000Z,0.00%,100.00%,5.00%,2.50%,0.00,2.50,2.50,0.00,25000.00,25000.00
12.00,2027-01-11T00:00:00.000Z,0.00%,100.00%,5.00%,2.50%,0.00,2.50,2.50,0.00,25000.00,25000.00
13.00,2027-07-12T00:00:00.000Z,4.55%,95.45%,5.00%,2.50%,4.55,2.50,7.05,45454.55,25000.00,70454.55
14.00,2028-01-10T00:00:00.000Z,4.55%,90.91%,5.00%,2.39%,4.55,2.39,6.93,45454.55,23863.64,69318.19
15.00,2028-07-10T00:00:00.000Z,4.55%,86.36%,5.00%,2.27%,4.55,2.27,6.82,45454.55,22727.27,68181.82
16.00,2029-01-09T00:00:00.000Z,4.55%,81.82%,5.00%,2.16%,4.55,2.16,6.70,45454.55,21590.91,67045.46
17.00,2029-07-10T00:00:00.000Z,4.55%,77.27%,5.00%,2.05%,4.55,2.05,6.59,45454.55,20454.54,65909.10
18.00,2030-01-09T00:00:00.000Z,4.55%,72.73%,5.00%,1.93%,4.55,1.93,6.48,45454.55,19318.18,64772.73
19.00,2030-07-10T00:00:00.000Z,4.55%,68.18%,5.00%,1.82%,4.55,1.82,6.36,45454.55,18181.82,63636.37
20.00,2031-01-09T00:00:00.000Z,4.55%,63.64%,5.00%,1.70%,4.55,1.70,6.25,45454.55,17045.45,62500.00
21.00,2031-07-09T00:00:00.000Z,4.55%,59.09%,5.00%,1.59%,4.55,1.59,6.14,45454.55,15909.09,61363.64
22.00,2032-01-09T00:00:00.000Z,4.55%,54.55%,5.00%,1.48%,4.55,1.48,6.02,45454.55,14772.73,60227.28
23.00,2032-07-09T00:00:00.000Z,4.55%,50.00%,5.00%,1.36%,4.55,1.36,5.91,45454.55,13636.36,59090.91
24.00,2033-01-10T00:00:00.000Z,4.55%,45.45%,5.00%,1.25%,4.55,1.25,5.80,45454.55,12500.00,57954.55
25.00,2033-07-11T00:00:00.000Z,4.55%,40.91%,5.00%,1.14%,4.55,1.14,5.68,45454.55,11363.64,56818.19
26.00,2034-01-09T00:00:00.000Z,4.55%,36.36%,5.00%,1.02%,4.55,1.02,5.57,45454.55,10227.27,55681.82
27.00,2034-07-10T00:00:00.000Z,4.55%,31.82%,5.00%,0.91%,4.55,0.91,5.45,45454.55,9090.91,54545.46
28.00,2035-01-09T00:00:00.000Z,4.55%,27.27%,5.00%,0.80%,4.55,0.80,5.34,45454.55,7954.54,53409.09
29.00,2035-07-09T00:00:00.000Z,4.55%,22.73%,5.00%,0.68%,4.55,0.68,5.23,45454.55,6818.18,52272.73
30.00,2036-01-09T00:00:00.000Z,4.55%,18.18%,5.00%,0.57%,4.55,0.57,5.11,45454.55,5681.82,51136.37
31.00,2036-07-09T00:00:00.000Z,4.55%,13.64%,5.00%,0.45%,4.55,0.45,5.00,45454.55,4545.45,50000.00
32.00,2037-01-09T00:00:00.000Z,4.55%,9.09%,5.00%,0.34%,4.55,0.34,4.89,45454.55,3409.09,48863.64
33.00,2037-07-09T00:00:00.000Z,4.55%,4.55%,5.00%,0.23%,4.55,0.23,4.77,45454.55,2272.73,47727.28
34.00,2038-01-11T00:00:00.000Z,4.55%,0.00%,5.00%,0.11%,4.55,0.11,4.66,45454.45,1136.36,46590.81
