Cupón,Fecha de pago,Amortización,Amortización,Interés,Interés,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos simulado,Flujo de fondos simulado,Flujo de fondos simulado
#,Efectiva,Amortización (vn),Valor residual,Tasa de interés,Interés (vn),Amortización,Interés,Total,Amortización,Interés,Total
1.00,2021-07-12T00:00:00.000Z,0.00%,100.00%,0.13%,0.11%,0.00,0.11,0.11,0.00,1059.03,1059.03
2.00,2022-01-10T00:00:00.000Z,0.00%,100.00%,1.13%,0.56%,0.00,0.56,0.56,0.00,5625.00,5625.00
3.00,2022-07-11T00:00:00.000Z,0.00%,100.00%,1.13%,0.56%,0.00,0.56,0.56,0.00,5625.00,5625.00
4.00,2023-01-09T00:00:00.000Z,0.00%,100.00%,1.50%,0.75%,0.00,0.75,0.75,0.00,7500.00,7500.00
5.00,2023-07-10T00:00:00.000Z,0.00%,100.00%,1.50%,0.75%,0.00,0.75,0.75,0.00,7500.00,7500.00
6.00,2024-01-09T00:00:00.000Z,0.00%,100.00%,3.62%,1.81%,0.00,1.81,1.81,0.00,18125.00,18125.00
7.00,2024-07-10T00:00:00.000Z,0.00%,100.00%,3.62%,1.81%,0.00,1.81,1.81,0.00,18125.00,18125.00
8.00,2025-01-09T00:00:00.000Z,0.00%,100.00%,4.13%,2.06%,0.00,2.06,2.06,0.00,20625.00,20625.00
9.00,2025-07-10T00:00:00.000Z,0.00%,100.00%,4.13%,2.06%,0.00,2.06,2.06,0.00,20625.00,20625.00
10.00,2026-01-09T00:00:00.000Z,0.00%,100.00%,4.13%,2.06%,0.00,2.06,2.06,0.00,20625.00,20625.00
11.00,2026-07-13T00:00:00.000Z,0.00%,100.00%,4.13%,2.06%,0.00,2.06,2.06,0.00,20625.00,20625.00
12.00,2027-01-11T00:00:00.000Z,0.00%,100.00%,4.13%,2.06%,0.00,2.06,2.06,0.00,20625.00,20625.00
13.00,2027-07-12T00:00:00.000Z,0.00%,100.00%,4.13%,2.06%,0.00,2.06,2.06,0.00,20625.00,20625.00
14.00,2028-01-10T00:00:00.000Z,0.00%,100.00%,4.75%,2.38%,0.00,2.38,2.38,0.00,23750.00,23750.00
15.00,2028-07-10T00:00:00.000Z,0.00%,100.00%,4.75%,2.38%,0.00,2.38,2.38,0.00,23750.00,23750.00
16.00,2029-01-09T00:00:00.000Z,0.00%,100.00%,5.00%,2.50%,0.00,2.50,2.50,0.00,25000.00,25000.00
17.00,2029-07-10T00:00:00.000Z,0.00%,100.00%,5.00%,2.50%,0.00,2.50,2.50,0.00,25000.00,25000.00
18.00,2030-01-09T00:00:00.000Z,0.00%,100.00%,5.00%,2.50%,0.00,2.50,2.50,0.00,25000.00,25000.00
19.00,2030-07-10T00:00:00.000Z,0.00%,100.00%,5.00%,2.50%,0.00,2.50,2.50,0.00,25000.00,25000.00
20.00,2031-01-09T00:00:00.000Z,10.00%,90.00%,5.00%,2.50%,10.00,2.50,12.50,100000.00,25000.00,125000.00
21.00,2031-07-09T00:00:00.000Z,10.00%,80.00%,5.00%,2.25%,10.00,2.25,12.25,100000.00,22500.00,122500.00
22.00,2032-01-09T00:00:00.000Z,10.00%,70.00%,5.00%,2.00%,10.00,2.00,12.00,100000.00,20000.00,120000.00
23.00,2032-07-09T00:00:00.000Z,10.00%,60.00%,5.00%,1.75%,10.00,1.75,11.75,100000.00,17500.00,117500.00
24.00,2033-01-10T00:00:00.000Z,10.00%,50.00%,5.00%,1.50%,10.00,1.50,11.50,100000.00,15000.00,115000.00
25.00,2033-07-11T00:00:00.000Z,10.00%,40.00%,5.00%,1.25%,10.00,1.25,11.25,100000.00,12500.00,112500.00
26.00,2034-01-09T00:00:00.000Z,10.00%,30.00%,5.00%,1.00%,10.00,1.00,11.00,100000.00,10000.00,110000.00
27.00,2034-07-10T00:00:00.000Z,10.00%,20.00%,5.00%,0.75%,10.00,0.75,10.75,100000.00,7500.00,107500.00
28.00,2035-01-09T00:00:00.000Z,10.00%,10.00%,5.00%,0.50%,10.00,0.50,10.50,100000.00,5000.00,105000.00
29.00,2035-07-09T00:00:00.000Z,10.00%,0.00%,5.00%,0.25%,10.00,0.25,10.25,100000.00,2500.00,102500.00
