Cupón,Fecha de pago,Amortización,Amortización,Interés,Interés,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos simulado,Flujo de fondos simulado,Flujo de fondos simulado
#,Efectiva,Amortización (vn),Valor residual,Tasa de interés,Interés (vn),Amortización,Interés,Total,Amortización,Interés,Total
1.00,2026-03-31T00:00:00.000Z,0.00%,100.00%,6.00%,0.57%,0.00,0.57,0.57,0.00,5666.67,5666.67
2.00,2026-04-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
3.00,2026-05-29T00:00:00.000Z,0.00%,100.00%,6.00%,0.48%,0.00,0.48,0.48,0.00,4833.33,4833.33
4.00,2026-06-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.52%,0.00,0.52,0.52,0.00,5166.67,5166.67
5.00,2026-07-31T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
6.00,2026-08-31T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
7.00,2026-09-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
8.00,2026-10-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
9.00,2026-11-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
10.00,2026-12-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
11.00,2027-01-29T00:00:00.000Z,0.00%,100.00%,6.00%,0.48%,0.00,0.48,0.48,0.00,4833.33,4833.33
12.00,2027-02-26T00:00:00.000Z,0.00%,100.00%,6.00%,0.45%,0.00,0.45,0.45,0.00,4500.00,4500.00
13.00,2027-03-31T00:00:00.000Z,0.00%,100.00%,6.00%,0.58%,0.00,0.58,0.58,0.00,5833.33,5833.33
14.00,2027-04-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
15.00,2027-05-31T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
16.00,2027-06-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
17.00,2027-07-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
18.00,2027-08-31T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
19.00,2027-09-30T00:00:00.000Z,0.00%,100.00%,6.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
20.00,2027-10-29T00:00:00.000Z,100.00%,0.00%,6.00%,0.48%,100.00,0.48,100.48,1000000.00,4833.33,1004833.33
