Cupón,Fecha de pago,Amortización,Amortización,Interés,Interés,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos simulado,Flujo de fondos simulado,Flujo de fondos simulado
#,Efectiva,Amortización (vn),Valor residual,Tasa de interés,Interés (vn),Amortización,Interés,Total,Amortización,Interés,Total
1.00,2021-07-12T00:00:00.000Z,0.00%,100.00%,0.13%,0.11%,0.00,0.11,0.11,0.00,1059.03,1059.03
2.00,2022-01-10T00:00:00.000Z,0.00%,100.00%,0.50%,0.25%,0.00,0.25,0.25,0.00,2500.00,2500.00
3.00,2022-07-11T00:00:00.000Z,0.00%,100.00%,0.50%,0.25%,0.00,0.25,0.25,0.00,2500.00,2500.00
4.00,2023-01-09T00:00:00.000Z,0.00%,100.00%,0.50%,0.25%,0.00,0.25,0.25,0.00,2500.00,2500.00
5.00,2023-07-10T00:00:00.000Z,0.00%,100.00%,0.50%,0.25%,0.00,0.25,0.25,0.00,2500.00,2500.00
6.00,2024-01-09T00:00:00.000Z,0.00%,100.00%,0.75%,0.38%,0.00,0.38,0.38,0.00,3750.00,3750.00
7.00,2024-07-10T00:00:00.000Z,4.00%,96.00%,0.75%,0.38%,4.00,0.38,4.38,40000.00,3750.00,43750.00
8.00,2025-01-09T00:00:00.000Z,8.00%,88.00%,0.75%,0.36%,8.00,0.36,8.36,80000.00,3600.00,83600.00
9.00,2025-07-10T00:00:00.000Z,8.00%,80.00%,0.75%,0.33%,8.00,0.33,8.33,80000.00,3300.00,83300.00
10.00,2026-01-09T00:00:00.000Z,8.00%,72.00%,0.75%,0.30%,8.00,0.30,8.30,80000.00,3000.00,83000.00
11.00,2026-07-13T00:00:00.000Z,8.00%,64.00%,0.75%,0.27%,8.00,0.27,8.27,80000.00,2700.00,82700.00
12.00,2027-01-11T00:00:00.000Z,8.00%,56.00%,0.75%,0.24%,8.00,0.24,8.24,80000.00,2400.00,82400.00
13.00,2027-07-12T00:00:00.000Z,8.00%,48.00%,0.75%,0.21%,8.00,0.21,8.21,80000.00,2100.00,82100.00
14.00,2028-01-10T00:00:00.000Z,8.00%,40.00%,1.75%,0.42%,8.00,0.42,8.42,80000.00,4200.00,84200.00
15.00,2028-07-10T00:00:00.000Z,8.00%,32.00%,1.75%,0.35%,8.00,0.35,8.35,80000.00,3500.00,83500.00
16.00,2029-01-09T00:00:00.000Z,8.00%,24.00%,1.75%,0.28%,8.00,0.28,8.28,80000.00,2800.00,82800.00
17.00,2029-07-10T00:00:00.000Z,8.00%,16.00%,1.75%,0.21%,8.00,0.21,8.21,80000.00,2100.00,82100.00
18.00,2030-01-09T00:00:00.000Z,8.00%,8.00%,1.75%,0.14%,8.00,0.14,8.14,80000.00,1400.00,81400.00
19.00,2030-07-10T00:00:00.000Z,8.00%,0.00%,1.75%,0.07%,8.00,0.07,8.07,80000.00,700.00,80700.00
