;AO27D;AO28D;AL29D;AL35D; AE38D ; AL41D ; AN29D 
22/4/2026; 102,15 ; 96,20 ; 63,73 ; 78,05 ; 80,56 ; 72,82 ; 95,83 
21/4/2026; 102,15 ; 96,60 ; 63,57 ; 78,17 ; 80,41 ; 72,50 ; 95,97 
20/4/2026; 102,10 ; 96,69 ; 63,85 ; 79,00 ; 81,39 ; 73,85 ; 96,74 
17/4/2026; 102,10 ; 96,34 ; 63,57 ; 78,77 ; 81,54 ; 73,55 ; 95,90 
16/4/2026; 101,95 ; 95,99 ; 63,65 ; 78,65 ; 81,49 ; 73,85 ; 95,77 
15/4/2026; 102,00 ; 97,80 ; 64,00 ; 79,25 ; 82,03 ; 74,14 ; 96,10 
14/4/2026; 102,10 ; 97,77 ; 64,14 ; 78,99 ; 82,01 ; 74,27 ; 96,00 
13/4/2026; 102,60 ; 97,50 ; 64,01 ; 78,93 ; 82,15 ; 73,70 ; 95,80 
10/4/2026; 102,60 ; 97,90 ; 63,69 ; 77,86 ; 81,09 ; 72,59 ; 95,25 
9/4/2026; 102,40 ; 97,47 ; 63,00 ; 77,30 ; 79,95 ; 71,61 ; 94,46 
8/4/2026; 102,00 ; 97,66 ; 62,72 ; 76,20 ; 79,28 ; 70,81 ; 93,85 
7/4/2026; 101,85 ; 95,00 ; 62,39 ; 74,96 ; 78,04 ; 70,02 ; 93,00 
6/4/2026; 101,65 ; 94,85 ; 62,16 ; 74,82 ; 78,06 ; 69,64 ; 92,82 
1/4/2026; 101,65 ; 94,50 ; 62,05 ; 75,20 ; 77,80 ; 69,79 ; 92,65 
31/3/2026; 101,60 ;; 62,41 ; 75,00 ; 77,25 ; 69,25 ; 92,30 
30/3/2026; 101,60 ;; 61,65 ; 73,85 ; 76,28 ; 68,90 ; 92,17 
27/3/2026; 101,90 ;; 61,69 ; 74,07 ; 76,90 ; 69,05 ; 91,80 
26/3/2026; 101,90 ;; 62,01 ; 75,11 ; 77,60 ; 69,34 ; 92,99 
25/3/2026; 101,90 ;; 62,15 ; 75,32 ; 77,78 ; 69,47 ; 93,20 
20/3/2026; 101,90 ;; 61,48 ; 73,64 ; 76,20 ; 67,86 ; 92,99 
19/3/2026; 101,80 ;; 61,84 ; 74,80 ; 77,05 ; 69,00 ; 93,80 
18/3/2026; 101,95 ;; 62,10 ; 75,10 ; 77,34 ; 69,32 ; 94,25 
17/3/2026; 102,00 ;; 62,25 ; 76,00 ; 77,88 ; 70,17 ; 94,48 
16/3/2026; 101,50 ;; 62,19 ; 74,87 ; 77,29 ; 69,52 ; 94,45 
