Código,Nombre
09117,S30S2-L.T.GOB.NAC. DESCUENTO VTO 30/9/22 $
´1017,Especie ´1017
´1201,Especie ´1201
9104,S29L2-  LETRA DEL TESORO NACIONAL EN PESOS A DESCUENTO CON VENCIMIENTO 29 DE JULIO DE 2022
9110,S31G2-LETRA DEL TESORO NACIONAL EN PESOS A DESCUENTO CON VENCIMIENTO 31 DE AGOSTO DE 2022
9130,S31O2-L.T.GOB.NAC. PESOS DESC. VTO 29/7/22
9135,S30N2-LETRA DEL TESORO NACIONAL EN PESOS A DESCUENTO CON VENCIMIENTO 30 DE NOVIEMBRE DE 2022
9141,S28F3
9150,S16D2
9151,S31E3
9164,S31M3
9171,S31Y3
9172,S30J3
9183,S31L3
9206,S31O3
9232,S18E4
9251,S31E5
9252,S14O4
9255,S29N4
9256,S31M5
XROXSUB874182/101,Lote s/subasta 874182
1,Depósito U$S
10000,10000
10390,Depósito U$S Ext
7000,7000
8000,8000
002,FCI BCSA SOC. DEP GAINVEST PESOS
09270,FCI SBS Estrategia - Clase B
1004,Balanz Retorno Total - Clase A
1007,FCI Balanz Capital Renta Fija - Clase B
1016,FCI Maf Money Market - Clase A
1017,FCI Maf Money Market - Clase B
1019,FCI MAF Pesos Plus - Clase B
1024,SBS Pesos Plus - Clase A
1025,SBS PESOS PLUS FCI Clase B
1047,Argenfunds Ahorro Pesos - Clase B
1055,SBS Retorno Total - Clase A
1056,SBS Retorno Total - Clase B
1077,Consultatio Renta Nacional - Clase B
111,BMA
1112,Adcap Abierto Pymes - Clase A
11122,no usar
1113,Adcap Abierto Pymes - Clase B
1114,FCI Balanz Capital Ahorro - Clase A
1115,Balanz Capital Ahorro - Clase B
1119,MAF RENTA ARGENTINA FCI - Clase U
1132,FCI Toronto Trust Ahorro - Clase A
1133,Toronto Trust Ahorro - Clase B
1135,Toronto Trust Multimercado - Clase A
1136,FCI Toronto Trust Multimercado - Clase B
1138,FCI Toronto Trust Renta Fija - Clase A
1139,FCI Toronto Trust Renta Fija - Clase B
1142,Toronto Trust Renta Fija Plus - Clase B
1154,Toronto Trust - Clase B
1156,Balanz Capital Abierto Pymes FCI - Clase A
1170,Toronto Trust Abierto Pymes - Clase A
1172,Toronto Trust Global Capital - Clase A
1173,FCI Toronto Trust Global Capital - Clase B
1193,Fima PB Acciones - Clase B
1194,FCI Adcap Pesos Plus - Clase A
1201,FCI MegaQM Pesos - Clase B
1208,Consultatio Acciones Argentina - Clase B
1231,Schroder Renta Plus - Clase B
1235,FCI Adcap Moneda - Clase A
1236,FCI Adcap Moneda - Clase B
1256,FCI Adcap Acciones - Clase B
1260,SBS Latam - Clase B
1269,FCI Quinquela Desarrollo Argentino Infraest. - Clase B
1272,MEGAQM Balanceado - Clase A
1273,FCI MegaQM Balanceado - Clase B
1286,FCI IAM Renta Plus - Clase A
1287,FCI IAM Renta Plus - Clase B
1288,IAM Renta Crecimiento - Clase A
1289,FCI IAM Renta Crecimiento - Clase B
1292,FCI IAM Ahorro Pesos - Clase A
1293,FCI IAM Ahorro Pesos - Clase B
1295,Gainvest Pesos - Clase B
1300,FCI MAF Ahorro
1302,IAM FCI Abierto Pymes - Clase B
1370,Fima Mix I - Clase A
1371,Fima Mix I - Clase B
1372,Fima Mix I - Clase C
1386,IAM Renta Capital - Clase B
1390,Balanz Renta Fija Estrategica - Clase A
1400,Balanz Acciones - Clase A
141,Lombard Renta Fija
14133,FCI Balanz Capital Renta Fija - Clase A
142,Schroder Renta Variable - Clase B
1436,Schroder Retorno Total - Clase A
1437,Schroder Retorno Total - Clase B
1450,Allaria Renta Dolar Ley 27260 - Clase C
1485,ST Retorno Total Dolares - Clase A
14961,CP SCH RT PL A
1512,Argenfunds Renta Mixta - Clase B
1513,Argenfunds Renta Global - Clase B
15186,FCI Balanz Ahorro en Dolares - Clase A
1521,Consultatio Liquidez Ley 27260 - Clase B
1531,FCI Adcap Ahorro Dolares - Clase D
1532,FCI Adcap Ahorro Dolares - Clase E
1560,MEGAQM Corporativo Dólares - Clase A
1561,MEGAQM Corporativo Dólares - Clase B
1590,FCI IAM Renta Dolares-Clase B
1593,FCI Balanz Capital Renta Fija en Dolares - Clase A
1600,Consultatio Income Fund - Clase A
1623,Allaria Dolar Ahorro  - Clase B
1624,Allaria Diversificado - Clase C
1625,FCI First Renta Dolares - Clase A
1626,First Renta Dolares - Clase B
1629,FCI First Renta Pesos - Clase A
1635,FCI Quinquela Total Return - Clase A
1636,FCI Quinquela Total Return - Clase B
1638,Galileo Income - Clase A
1646,FCI Adcap Renta Dolar - Clase E
1676,Schroder Renta Plus - Clase A
1678,Schroder Renta Plus - Clase D
169,CGPA2
1695,FCI Megaqm Liquidez Dolar - Clase A
1717,Schroder Renta Fija - Clase A
1726,Schroder Renta Variable - Clase A
1744,FCI Toronto Trust Crecimiento Clase A
1745,TORONTO TRUST CRECIMIENTO Clase B
1747,Toronto Trust Retorno Total - Clase A
1748,FCI Toronto Trust Retorno Total - Clase B
1759,Allaria Dólar Global - Clase A
1771,SMSV Renta en Dolares - Clase A
1772,FCI ST SMSV Renta en Dolares - Clase B
1819,FCI Balanz Institucional - Clase B
1843,Fima Acciones - Clase B
1876,FCI Alamerica Renta Fija Argentina - Clase B
19,AGRO
1903,Allaria Ahorro - Clase C
191,Fima Renta Plus - Clase A
2020,Argenfunds Ahorro Pesos - Clase A
2035,Argenfunds Renta Balanceada - Clase A
2047,FCI Argenfunds Renta Mixta - Clase A
21,Fima Acciones - Clase A
2103,FCI Compass Best Ideas - Clase A
22,Fima PB Acciones - Clase A
2212,FCI Abierto Pymes Zofingen Factoring PYME FUND - Clase B
223,CELU
2260,Galileo Ahorro - Clase B
2356,Balanz Opportunity - Clase A
2363,Schroder Income - Clase A
2364,Schroder Income - Clase B
2390,FCI IAM Performance Americas - Clase B
2394,Galileo Renta - Clase A
2399,FCI Galileo Pesos - Clase B
2408,Bull Market Acciones Argentinas - Clase A
2420,Balanz Long Pesos - Clase A
24399,Consultatio Multimercado III - Clase A
2444,MAF Abiertos Pymes - Clase C
2477,MAF Acciones Argentinas - Clase A
2507,MAF Global
251,COME
2560,FCI Argenfunds Liquidez Clase A
2561,FCI Argenfunds Liquidez Clase B
2565,FCI Adcap Ahorro Pesos Fondo de Dinero - Clase A
2566,ADCAP ahorro pesos fondo de Dinero - Clase B
2598,IEB Renta Fija - Clase A
2599,FCI IEB Renta Fija - Clase B
2604,IEB Renta Fija Dólar - Clase A
2617,Gainvest Renta Fija - Clase B
2635,FCI Gainvest Balanceado - Clase B
26700,FONDO COMÚN DE INVERSIÓN CERRADO INMOBILIARIO PUERTO NIZUC
27278,BAVSA Ahorro Dólar - Clase A
27279,BAVSA Ahorro Dólar - Clase B
274,CRES
30005,TGNO4
30011,GAMI
30013,BOLT
30015,BPAT
30023,A3
30024,INVJ
30035,SUPV
30037,HAVA
30038,BYMA
30043,LOMA
30059,VALO
30062,HSAT
30069,ECOG
307,DGCU2
308,1810 Ahorros
3210,First Crecimiento - Clase D
322,CEPU
3224,IEB Multiestrategia - Clase A
3260,Schroder Renta Performance - Clase A
3262,Schroder Renta Performance - Clase C
3263,Schroder Renta Performance - Clase D
3264,Schroder Renta Performance - Clase E
3265,Schroder Renta Performance - Clase B
3296,SBS Ahorro Pesos - Clase D
3318,FCI IAM Renta Balanceada - Clase A
3319,FCI IAM Renta Balanceada - Clase B
3348,Allaria Dinámico - Clase A
3352,FCI Compass Liquidez - Clase A
3353,FCI Compass Liquidez - Clase B
3355,FCI Balanz Capital Money Market - Clase A
3356,FCI Balanz Capital Money Market - Clase B
3357,Balanz Capital Money Market - Clase C
3358,Balanz Capital Money Market - Clase D
3368,Adcap Cobertura - Clase B
3377,IEB Ahorro - Clase A
3378,FCI IEB Ahorro - Clase B
3385,ST Zero - Clase A
3386,FCI ST Zero - Clase B
341,FCI Compass Crecimiento - Clase A
3410,Balanz Infraestructura - Clase A
342,Compass Crecimiento - Clase B
3443,BM Smart Money Market - Clase B
3455,FCI Galileo Blend - Clase A
3467,SMR Fondo Comun de Inversion - Clase A
3468,FCI SMR Fondo Comun de Inversion - Clase B
3521,FCI Allaria Patrimonio III - Clase B
3562,FCI Consultatio Multimercado III - Clase B
3580,Consultatio Multimercado V - Clase A
3671,Balanz Lecaps - Clase A
3672,Balanz Performance II - Clase B
3673,Balanz Performance II - Clase C
3679,First Renta Mixta VI - Clase A
3697,Adcap Wise Capital Growth - Clase A
3698,Adcap Wise Capital Growth - Clase B
3723,Toronto Trust Argentina 2021 - Clase A
3724,Toronto Trust Argentina 2021 - Clase B
3736,Fima Premium - Clase C
3749,Balanz Performance III - Clase A
3750,FCI Balanz Performance III - Clase B
3809,IEB Multiestrategia V - Clase A
3810,IEB Multiestrategia V - Clase B
3830,Schroder Liquidez - Clase A
3831,SCHRODER LIQUIDEZ F.C.I. Clase B
3852,Max Money Market - Clase A
3853,Max Money Market - Clase B
3854,Max Ahorro Pesos - Clase A
3855,Max Ahorro Pesos - Clase B
3858,Max Cobertura - Clase A
3859,Max Cobertura - Clase B
386,CECO2
3862,Max Renta Fija - Clase A
3908,Adcap Balanceado VIII - Clase B
