ticker,cvsa_id,isin,tipo
A11LD,59306,AR0561623023,14-OBLIG. NEG. PYMES
A3,30023,ARMTBA010010,01-ACCIONES PRIVADAS
A3B,30023,ARMTBA010010,01-ACCIONES PRIVADAS
A3D,30023,ARMTBA010010,01-ACCIONES PRIVADAS
AAL,8564,ARBCOM4603W8,23-CEDEARS
AALC,8564,ARBCOM4603W8,23-CEDEARS
AALD,8564,ARBCOM4603W8,23-CEDEARS
AAP,8592,AR0402038027,23-CEDEARS
AAPC,8592,AR0402038027,23-CEDEARS
AAPCB,8445,ARDEUT116183,23-CEDEARS
AAPD,8592,AR0402038027,23-CEDEARS
AAPDB,8445,ARDEUT116183,23-CEDEARS
AAPL,8445,ARDEUT116183,23-CEDEARS
AAPLB,8445,ARDEUT116183,23-CEDEARS
AAPLC,8445,ARDEUT116183,23-CEDEARS
AAPLD,8445,ARDEUT116183,23-CEDEARS
AB1BP,57134,ARAGBI560023,14-OBLIG. NEG. PYMES
ABBV,8528,ARBCOM4603M9,23-CEDEARS
ABBVC,8528,ARBCOM4603M9,23-CEDEARS
ABBVD,8528,ARBCOM4603M9,23-CEDEARS
ABE3C,8612,ARCAVA4601Y0,23-CEDEARS
ABE3D,8612,ARCAVA4601Y0,23-CEDEARS
ABEV,8502,ARBCOM4601V4,23-CEDEARS
ABEV3,8612,ARCAVA4601Y0,23-CEDEARS
ABEVC,8502,ARBCOM4601V4,23-CEDEARS
ABEVD,8502,ARBCOM4601V4,23-CEDEARS
ABMT,41982,US05961W1053,22-A.D.R.S (ACCIONES)
ABMTC,41982,US05961W1053,22-A.D.R.S (ACCIONES)
ABMTD,41982,US05961W1053,22-A.D.R.S (ACCIONES)
ABNB,8585,ARCAVA4601I3,23-CEDEARS
ABNBB,8585,ARCAVA4601I3,23-CEDEARS
ABNBC,8585,ARCAVA4601I3,23-CEDEARS
ABNBD,8585,ARCAVA4601I3,23-CEDEARS
ABT,8065,ARDEUT110608,23-CEDEARS
ABTB,8065,ARDEUT110608,23-CEDEARS
ABTC,8065,ARDEUT110608,23-CEDEARS
