Fondo,Honorarios Adm. SG
Allaria Equity Selection - Clase A,3.82
Allaria Equity Selection - Clase B,2.5
Allaria Equity Selection - Clase C,2.02
BAVSA Renta Balanceado IX - Clase A,3.5
BAVSA Renta Balanceado IX - Clase B,3.5
BAVSA Renta Balanceado IX - Clase C,3.5
BAVSA Renta Balanceado IX - Clase D,3.5
BAVSA Renta Balanceado X - Clase A,8
BAVSA Renta Balanceado X - Clase B,8
BAVSA Renta Balanceado X - Clase C,8
BAVSA Renta Balanceado X - Clase D,8
BAVSA Renta Balanceado XI - Clase A,8
BAVSA Renta Balanceado XI - Clase B,8
BAVSA Renta Balanceado XI - Clase C,8
BAVSA Renta Balanceado XI - Clase D,8
Gainvest Renta Variable - Clase A,3
Gainvest Renta Variable - Clase B,2.5
Gainvest Renta Variable - Clase C,1.5
MAF Acciones Argentinas - Clase A,2.65
MAF Acciones Argentinas - Clase B,2.65
MAF Acciones Argentinas - Clase RAP Ley N° 27.743,2.65
Novus Renta Variable - Clase A,3.25
Novus Renta Variable - Clase B,2
Novus Renta Variable - Clase C,3.25
Novus Renta Variable - Clase D,2
SBS Acciones Brasil - Clase A,3.5
SBS Acciones Brasil - Clase B,2
SBS Acciones Brasil - Clase Ley N° 27.743,3.5
1810 Renta Variable Argentina,2.6
1822 Raices Valores Negociables,2.5
Adcap Acciones - Clase A,3.52
Adcap Acciones - Clase B,2.52
Adcap Acciones - Clase Ley Nº 27.743,3.52
Allaria Acciones - Clase A,3.82
Allaria Acciones - Clase B,2.5
Allaria Acciones - Clase Ley Nº 27.743,3.82
Alpha Acciones - Clase A,2.2423
Alpha Acciones - Clase B,4.5088
Alpha Acciones - Clase C,4.892
Alpha Acciones - Clase J,2.2423
Alpha Acciones - Clase K,4.5088
Alpha Acciones - Clase Q Ley N° 27.743,4.892
Alpha Mega - Clase A,2.2423
Alpha Mega - Clase B,4.5088
Alpha Mega - Clase C,4.892
Alpha Mega - Clase D,1.6294
Alpha Mega - Clase E,4.892
Alpha Mega - Clase I,1.6294
Alpha Mega - Clase J,2.2423
Alpha Mega - Clase K,4.5088
Alpha Mercosur - Clase A,2.3212
Alpha Mercosur - Clase B,4.5023
Alpha Mercosur - Clase C,1.42
Alpha Mercosur - Clase D,4.885
Alpha Mercosur - Clase I,1.42
Alpha Mercosur - Clase J,2.3212
Alpha Mercosur - Clase K,4.5023
Argenfunds Renta Variable - Clase A,3.5
Argenfunds Renta Variable - Clase B,1.35
Arpenta Acciones Argentina,3
Balanz Acciones - Clase A,2.5
Balanz Acciones - Clase B,1.9
Balanz Acciones - Clase C,1.85
Balanz Acciones - Clase D,1.85
Balanz Acciones - Clase E,1.85
Balanz Acciones - Clase F,1.85
Balanz Acciones - Clase G,3.03
Balanz Acciones - Clase L Ley Nº 27.743,3.18
Balanz Equity Selection - Clase A,2.76
Balanz Equity Selection - Clase B,2.36
Balanz Equity Selection - Clase C,2.26
Balanz Equity Selection - Clase D,2
Balanz Soja - Clase A,2.15
Balanz Soja - Clase B,2.15
Balanz Soja - Clase C,2.15
Balanz Soja - Clase D,2.15
Bull Market Acciones Argentinas - Clase A,3
Bull Market Acciones Argentinas - Clase B,3
Champaquí Renta Variable - Clase A,3.5
Champaquí Renta Variable - Clase B,2.3
Chimpay Agresivo - Clase A,3.75
Chimpay Agresivo - Clase B,3
Chimpay Agresivo - Clase C,2.5
CMA Acciones - Clase A,5.25
CMA Acciones - Clase B,4.25
CMA Acciones - Clase C,2.95
CMA Acciones - Clase I,1
CMA Acciones - Clase Ley N° 27.743,5.25
Cocos Acciones - Clase A,2.02
Cocos Acciones - Clase B,2.02
Cocos Acciones - Clase C,2.02
Cocos Acciones - Clase Ley N° 27.743,2.02
Compass Crecimiento - Clase A,3.9
Compass Crecimiento - Clase B,2.4
Compass Crecimiento - Clase C,1.5
Compass Crecimiento - Clase H Ley 27.743,3.9
Compass Crecimiento - Clase I Ley 27.743,2.4
Compass Crecimiento II - Clase A,1.5
Compass Crecimiento II - Clase B,1.5
Compass Crecimiento II - Clase C,1.5
Compass Crecimiento II - Clase H Ley 27.743,1.5
Consultatio Acciones Argentina - Clase A,3.25
Consultatio Acciones Argentina - Clase B,2
Consultatio Acciones Argentina - Clase C,1.6
Consultatio Acciones Argentina - Clase Z Ley N° 27.743,2
Consultatio Renta Variable - Clase A,3.25
Consultatio Renta Variable - Clase B,2.2
Consultatio Renta Variable - Clase C,2
Crecer Acciones - Clase A,3.84
Crecer Acciones - Clase B,2.44
Delta Acciones - Clase A,3.9
Delta Acciones - Clase B,2.5
Delta Acciones - Clase E,1.7
Delta Acciones - Clase K Ley Nº 27.743,3.9
Delta Acciones - Clase L Ley Nº 27.743,2.5
Delta Recursos Naturales - Clase A,3.9
Delta Recursos Naturales - Clase B,2.5
Delta Recursos Naturales - Clase E,1.7
Delta Select - Clase A,3.9
Delta Select - Clase B,1.7
DXA PMKT Total Return - Clase A,2.02
DXA PMKT Total Return - Clase B,2.02
DXA PMKT Total Return - Clase C,2
DXA PMKT Total Return - Clase D,2
FBA Acciones Argentinas - Clase A,3.43
FBA Acciones Argentinas - Clase B,1.9
FBA Acciones Argentinas - Clase J Ley N° 27.743,3.43
FBA Acciones Argentinas - Clase K Ley N° 27.743,1.9
Fima Acciones - Clase A,3.145
Fima Acciones - Clase B,2.125
Fima Acciones - Clase E,1.7
Fima PB Acciones - Clase A,3.145
Fima PB Acciones - Clase B,2.125
Fima PB Acciones - Clase L Ley N° 27.743,3.145
Galileo Acciones - Clase A,3
Galileo Acciones - Clase B,1.5
IAM Renta Variable - Clase A,2.77
IAM Renta Variable - Clase B,2.57
IAM Renta Variable - Clase C,2.77
IAM Renta Variable - Clase D,2.42
IEB Value - Clase A,3.5
IEB Value - Clase B,2.5
IEB Value - Clase C,0
IEB Value - Clase Ley N° 27.743,3.5
Julio A. Roca Valores Negociables,4.5
Lombard Acciones Lideres,2.8
Max Acciones Argentinas - Clase A,3.33
Max Acciones Argentinas - Clase B,2.58
Max Acciones Argentinas - Clase C,0
Max Acciones Argentinas - Clase D,0
Max Acciones Argentinas - Clase H Ley N° 27.743,3.33
MEGAQM Acciones - Clase A,3.5
MEGAQM Acciones- Clase B,2.079
MEGAQM Acciones- Clase Ley Nº 27.743,3.5
Optimum Renta Variable III,1.65
Optimum Renta Variable III - Clase B,0
Parakeet Capital Plus - Clase A,3.5
Parakeet Capital Plus - Clase B,3
Parakeet Capital Plus - Clase X Ley N° 27.743,3.5
Pellegrini Acciones - Clase A,3
Pellegrini Acciones - Clase B,2.75
Pionero Acciones - Clase A,3.285
Pionero Acciones - Clase B,1.8
Pionero Acciones Plus - Clase A,3.285
Pionero Acciones Plus - Clase B,1.8
Premier Renta Variable - Clase A,2.576
Premier Renta Variable - Clase B,3.22
Premier Renta Variable - Clase C,1.472
Rofex 20 Renta Variable - Clase A,3.25
Rofex 20 Renta Variable - Clase B,2.2
Rofex 20 Renta Variable - Clase C,2
Rofex 20 Renta Variable - Clase D,1.2
SBS Acciones Argentina - Clase A,3.5
SBS Acciones Argentina - Clase B,2.5
SBS Acciones Argentina - Clase Ley N° 27.743,3.5
SBS Tavelli Plus - Clase P,2.02
Schroder Renta Variable - Clase A,3
Schroder Renta Variable - Clase B,2
Schroder Renta Variable - Clase C,2.75
Schroder Renta Variable - Clase D,1.62
Schroder Renta Variable - Clase E Ley 27.743,3
Superfondo Acciones - Clase A,0.9719
Superfondo Acciones - Clase B,1.2679
Superfondo Acciones - Clase F Ley N° 27.743,0.9719
Superfondo Acciones - Clase H,1.9124
Superfondo Acciones - Clase I,1.2574
Superfondo Renta Variable - Clase A,0.9719
Superfondo Renta Variable - Clase B,1.2679
Superfondo Renta Variable - Clase D,0.833
Superfondo Renta Variable - Clase E,0
Superfondo Renta Variable - Clase F,0.646
Superfondo Renta Variable - Clase H,1.9124
Superfondo Renta Variable - Clase I,1.2574
Toronto Trust Multimercado - Clase A,3.1185
Toronto Trust Multimercado - Clase B,2.5185
Toronto Trust Multimercado - Clase C,2.8185
Toronto Trust Multimercado - Clase D,1.6185
Toronto Trust Multimercado - Clase Ley N° 27.743,3.1185
Ualintec Renta Variable Pesos - Clase A,2.5
Ualintec Renta Variable Pesos - Clase B,1.65
Ualintec Renta Variable Pesos - Clase C,1.1
Valiant Renta Variable - Clase A,3.5
Valiant Renta Variable - Clase B,4
Wise Capital Equity - Clase A,5
Wise Capital Equity - Clase B,5
Wise Capital Equity - Clase C,5
Wise Capital Equity - Clase D,3
Wise Capital Equity - Clase J Ley N° 27.743,5
Cima Renta Variable - Clase A,4
Cima Renta Variable - Clase B,2.75
Cima Renta Variable - Clase C,4
First Renta Mixta II - Clase A,2.5
First Renta Mixta II - Clase B,2
First Renta Mixta II - Clase C,1.75
First Renta Mixta II - Clase D,1.5
Integrae Acciones - Clase A,0
Integrae Acciones - Clase B,0
MP Empresas Argentinas - Clase A,2.21
MP Empresas Argentinas - Clase C,1.51
Probolsa Acciones,2
Superfondo Acciones Brasil - Clase C,0.966
Delta Internacional - Clase A,3.9
Delta Internacional - Clase B,2.5
Delta Internacional - Clase K Ley Nº 27.743,3.9
Delta Internacional - Clase L Ley Nº 27.743,2.5
Compass Renta Mixta Dólares - Clase D,2.25
Compass Renta Mixta Dólares - Clase E,1.25
Compass Renta Mixta Dólares - Clase F,1.25
Delta Latinoamerica - Clase A,3.9
Delta Latinoamerica - Clase B,1.6
FBA Acciones Latinoamericana - Clase A,3.43
FBA Acciones Latinoamericana - Clase B,1.9
Superfondo Latinoamerica - Clase C,0.966
Superfondo Latinoamerica - Clase D,1.036
Compass Renta Mixta II - Clase A,3
Compass Renta Mixta II - Clase B,1.8
Compass Renta Mixta II - Clase C,1.25
Compass Renta Mixta II - Clase H,3
Compass Renta Mixta II - Clase I,1.8
Renta Variable Dolar Estadounidense Billete,nan
Delta Acciones - Clase I,3.9
Delta Internacional - Clase I,2.5
Alpha Latam - Clase J,2.7007
Alpha Latam - Clase K,4.5649
Compass Renta Mixta Dólares - Clase A,2.25
Compass Renta Mixta Dólares - Clase B,1.25
Compass Renta Mixta Dólares - Clase C,1.25
Renta Variable Dolar Estadounidense,nan
FBA Acciones Globales Dólar I - Clase B,0.679
MAF Acciones Argentinas - Clase D,2.65
MAF Acciones Argentinas - Clase E,2.65
Allaria Acciones - Clase W Art. 11 Decreto 99/2019 y mod,0.1
Alpha Acciones - Clase D,1.94
Alpha Acciones - Clase E,4.892
Alpha Acciones - Clase I,1.94
Alpha Mega - Clase R Art. 11 Decreto 99/2019 y mod,4.772
Argenfunds Renta Variable - Clase E,1
