fecha,trader,activo,vn_compra,px_compra,monto_compra,vn_venta,px_venta,monto_venta,resultado,cliente,observacion
2026-07-01,Javier,TZXD6,2122731201,288.91000000000003,6132825167.4300003,2122731201,289.25,6139999998.8900003,7174831.46,La Segunda,Mesa
2026-07-01,Valentina,tx26,90000000,705.4,634860000,90000000,705.6,635040000,180000,SBS,Mesa
2026-07-01,Javier,TXMD9,6875375375,83.1,5713230675.3599997,6875375375,83.25,5723749999.6899996,10519324.32,La Segunda,Mesa
2026-07-01,Javier,TXMD9,3000000000,83.1,2492910000,3000000000,83,2490000000,-2910000,Schroder,Mesa
2026-07-01,Valentina,tzxd6,117409471,288.7,338961142.77999997,117409471,288.8,339078552.25,117409.47,Cartera Propia,Mesa
2026-07-01,Valentina,Dolar mep,146420,1521,222704820,146420,1526,223436920,732100,AL2,Mesa
2026-07-01,Compartido,tzxs8,339078553,91.9,311613190.20999998,339078553,92.05,312121808.04000002,508617.83,Cartera Propia,Mesa
2026-07-01,Javier,tzxs8,1050200362,91.9,965134132.67999995,1050200362,91.96,965732746.88,598614.21,Avalian,Mesa
2026-07-01,Javier,tzxs7,1835124137,102.09,1873421342.6199999,1835124137,102.2,1875496868.01,2075525.4,Avalian,Mesa
2026-07-01,Javier,Pase OPS,,,,,,,700000,Toronto,Mesa
2026-07-02,Compartido,TZXS8,651522901,91.95,599088337.92999995,651522901,92,599401068.91999996,312730.99,Cartera Propia,Mesa
2026-07-02,Compartido,TXMJ0,2000000000,80.25,1605040000,2000000000,80.31,1606260000,1220000,Cartera Propia,Mesa
2026-07-02,Valentina,TX26,100000000,705.5,705500000,100000000,705.6,705600000,100000,SBS,Mesa
2026-07-02,Valentina,x31l6,300000000,116.06,348165000,300000000,116.08,348240000,75000,Max,Mesa
2026-07-02,Valentina,txmj9,614000000,89.55,549837000,614000000,89.6,550144000,307000,Bavsa,Mesa
2026-07-03,Compartido,TTS26,950000000,162.53,1544035000,950000000,162.55000000000001,1544225000,190000,Cartera Propia,Mesa
2026-07-03,Javier,CP39O,150000,150360.48000000001,225540720,150000,150674.17000000001,226011255,470535,Toronto,Alejandro
2026-07-03,Javier,PR17,70000000,722,505400000,70000000,723,506100000,700000,La Segunda,Mesa
2026-07-03,Valentina,x31l6,300000000,116.22,348660000,300000000,116.25,348759000,99000,Bavsa,Mesa
2026-07-03,Valentina,txmj0,500000000,80.75,403750000,500000000,80.849999999999994,404250000,500000,Max,Mesa
2026-07-03,Valentina,TTS26,300000000,162.55000000000001,487650000,300000000,162.6,487800000,150000,Cartera Propia,Mesa
2026-07-03,Valentina,TZXS8,1500000000,92.56,1388460000,1500000000,92.7,1390500000,2040000,La Segunda,Mesa
2026-07-03,Valentina,s17l6,255000000,107.24,273451800,255000000,107.25,273487500,35700,First,Mesa
2026-07-03,Valentina,tzxo6,300000000,164.7,494100000,300000000,164.75,494250000,150000,SBS,Mesa
2026-07-03,Valentina,txmd9,250000000,83.84,209597500,250000000,83.79,209475000,-122500,Max,Mesa
2026-07-03,Javier,TZXS8,1000000000,92.56,925640000,1000000000,92.65,926500000,860000,La Segunda,Mesa
2026-07-03,Compartido,s13n6,500000000,101.02,505120000,500000000,101.22,506105000,985000,Cartera Propia,Mesa
2026-07-03,Javier,D30S6,59742,147000,87820740,59742,147300,87999966,179226,Cooperativas,Juan
2026-07-03,Javier,D30S6,65100,147000,95697000,65100,147300,95892300,195300,Cooperativas,Bautista
2026-07-03,Javier,TZXS8,5970912631,92.56,5526915567.7600002,5970912631,92.62,5530259278.8299999,3343711.07,La Segunda,Mesa
2026-07-06,Valentina,Dolar mep,41987,1520,63820042.399999999,41987,1525,64029976.75,209934.35,AL2,Mesa
2026-07-06,Compartido,TZXS8,1255842865,92.61,1163073752.5599999,1255842865,92.7,1164166335.8599999,1092583.29,Cartera Propia,Mesa
2026-07-06,Javier,D30S6,679347,146950,998300416.5,679347,147200,999998784,1698367.5,Cooperativas,Bautista
2026-07-06,Valentina,txmd9,2000000000,84.1,1682000000,2000000000,84.2,1684000000,2000000,Schroder,Mesa
2026-07-06,Javier,D30S6,135000,146700,198045000,135000,147000,198450000,405000,Cooperativas,Bautista
2026-07-06,Compartido,TXMJ9,550000000,90.1,495550000,550000000,90.14,495770000,220000,Bavsa,Mesa
2026-07-06,Valentina,tzxs7,463354395,102.85,476559995.25999999,463354395,103,477255026.85000002,695031.59,ACABIO,Mesa
2026-07-06,Valentina,tzxd7,177489756,268.35000000000002,476293760.23000002,177489756,268.5,476559994.86000001,266234.63,ACABIO,Mesa
2026-07-06,Valentina,tzxs8,244157135,92.84,226685250.41999999,244157135,92.7,226333664.15000001,-351586.27,Cartera Propia,Mesa
2026-07-07,Valentina,D31L6,4000000,147710,5908400000,4000000,147740,5909600000,1200000,Max,Mesa
2026-07-07,Javier,TZXD6,328076525,290.3,952406152.08000004,328076525,290.39999999999998,952734228.60000002,328076.52,La Segunda,Mesa
2026-07-07,Valentina,s15s6,700000000,102.85,719950000,700000000,102.9,720265000,315000,Lombard,Mesa
2026-07-07,Valentina,s30s6,650000000,111.74,726310000,650000000,111.76,726407500,97500,Lombard,Mesa
2026-07-07,Compartido,TXMJ9,41793016,90.15,37677239.780000001,41793016,90.2,37697300.43,20060.650000000001,Cartera Propia,Mesa
2026-07-08,Compartido,AN29,1000000,145100,1451000000,1000000,145700,1457000000,6000000,Cartera Propia,Mesa
2026-07-08,Javier,PNRCO,250000,140429.82999999999,351074575,250000,141861,354652500,3577925,Cooperativas,Bautista
2026-07-08,Javier,TZV28,272362,128100,348895722,272362,128900,351074618,2178896,Cooperativas,Bautista
2026-07-08,Valentina,Dolar mep,11000,1525,16775000,11000,1530,16830000,55000,AL2,Mesa
2026-07-08,Valentina,s13n6,1000000000,101.7,1017000000,1000000000,101.71,1017100000,100000,Max,Mesa
2026-07-08,Valentina,txmj9,57289238,90.43,51804366.350000001,57289238,90.59,51900039.380000003,95673.03,Cartera Propia,Mesa
2026-07-08,Valentina,s13n6,600000000,105.95,635700000,600000000,105.95,635718000,18000,ConoSur,Mesa
2026-07-08,Valentina,tzxd7,200000000,269.2,538400000,200000000,269.25,538500000,100000,SBS,Mesa
2026-07-08,Javier,CACAO,300000,143000,429000000,300000,143400,430200000,1200000,Cooperativas,Bautista
2026-07-08,Valentina,Dolar mep,5808,1523,8845584,5808,1530,8886240,40656,AL2,Mesa
2026-07-08,Javier,D30S6,152000,147500,224200000,152000,147700,224504000,304000,Cooperativas,Bautista
2026-07-13,Mariano,D30S6,135800,147100,199761800,135800,147200,199897600,135800,Dracma,Mesa
2026-07-13,Javier,BPOD7,342274,154710,529532105.39999998,342274,154910,530216653.39999998,684548,Productores,Juan Pablo
2026-07-13,Javier,BPOD7,342274,154810,529874379.39999998,342274,154710,529532105.39999998,-342274,Cartera Propia,Mesa
2026-07-13,Javier,D30S6,195000,147000,286650000,195000,147500,287625000,975000,Cooperativas,Bautista
2026-07-13,Mariano,D31L6,3000000,147550,4426500000,3000000,147600,4428000000,1500000,Max,Mesa
2026-07-13,Mariano,tzxd7,200000000,268.39999999999998,536800000,200000000,268.45,536900000,100000,SBS,Mesa
2026-07-13,Compartido,Dolar mep,5500000,1520.92,8365060000,5500000,1523,8376500000,11440000,ACA,Mesa
