boleto,concertacion,id_cuenta,denominacion,mercado,moneda,operacion,tipo_operacion,instrumento,segmento,nivel_3,etapa,es_cierre,cantidad_ops,bruto,arancel,mep,estado_match,n_movimientos,tasa_pct,tasa_raw,cod_instrumento,nominal_info,nm_fecha,nm_ticker,nm_categoria,nm_op,nm_cantidad,nm_precio,nm_importe,nm_moneda,nm_plazo,nm_estado,nm_cuenta,nm_informacion,nm_cantidad_total_boleto,nm_importe_total_boleto
BOL 2026124739,2026-07-30,187,COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UAC280770002] #UAC280770002 Nro. 158729 Vto. 30/07/2027,COOPERATIVAS,PJ GRANDE,,NO,100000,141187180.14,1492252.51,1505.14,OK,1,6.0,6,#UAC280770002,100000.0,2026-07-30,,otro,,100000,,-143044056.62,ARS,,DIS,[187] COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,"Compra [#UAC280770002] 100.000,00@6% (ARS 24hs)",100000,-143044056.62
BOL 2026124740,2026-07-30,187,COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UBI300770001] #UBI300770001 Nro. 158771 Vto. 03/08/2027,COOPERATIVAS,PJ GRANDE,,NO,50000,70549829.25,754325.44,1505.14,OK,1,6.0,6,#UBI300770001,50000.0,2026-07-30,,otro,,50000,,-71488172.62,ARS,,DIS,[187] COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,"Compra [#UBI300770001] 50.000,00@6% (ARS 24hs)",50000,-71488172.62
BOL 2026124741,2026-07-30,187,COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UBI300770002] #UBI300770002 Nro. 158770 Vto. 03/08/2027,COOPERATIVAS,PJ GRANDE,,NO,50000,70549829.25,754325.44,1505.14,OK,1,6.0,6,#UBI300770002,50000.0,2026-07-30,,otro,,50000,,-71488172.62,ARS,,DIS,[187] COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,"Compra [#UBI300770002] 50.000,00@6% (ARS 24hs)",50000,-71488172.62
BOL 2026124742,2026-07-30,187,COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UAC140770002] #UAC140770002 Nro. 158727 Vto. 16/07/2027,COOPERATIVAS,PJ GRANDE,,NO,100000,141494441.08,1434858.18,1505.14,OK,1,6.0,6,#UAC140770002,100000.0,2026-07-30,,otro,,100000,,-143281981.96,ARS,,DIS,[187] COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,"Compra [#UAC140770002] 100.000,00@6% (ARS 24hs)",100000,-143281981.96
BOL 2026125080,2026-07-30,823,AGRICULTORES UNIDOS DE TANCACHA COOPERATIVA AGRICOLA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UCO310770001] #UCO310770001 Nro. 158935 Vto. 04/08/2027,COOPERATIVAS,PJ GRANDE,,NO,30000,41916234.01,455055.02,1505.14,OK,1,7.0,7,#UCO310770001,30000.0,2026-07-30,,otro,,30000,,-42482066.17,ARS,,DIS,[823] AGRICULTORES UNIDOS DE TANCACHA COOPERATIVA AGRICOLA LIMITADA,"Compra [#UCO310770001] 30.000,00@7% (ARS Inm)",30000,-42482066.17
BOL 2026125081,2026-07-30,734,GMu SRL,MAV,ARS,Subasta Pagares,Pagarés - Subasta,[#UCO310770001] #UCO310770001 Nro. 158935 Vto. 04/08/2027,PRODUCTORES,PJ PEQUEÑA,,NO,30000,41916234.01,455055.02,1505.14,OK,1,7.0,7,#UCO310770001,30000.0,2026-07-30,,otro,,-30000,,41335186.25,ARS,,DIS,[734] GMu SRL,"Subasta [#UCO310770001] 30.000,00@7% (ARS Inm)",-30000,41335186.25
BOL 2026123956,2026-07-29,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO200770001] #UPO200770001 Nro. 158773 Vto. 22/07/2027,COOPERATIVAS,PJ GRANDE,,NO,16960,23916742.88,248797.35,1528.9329,OK,1,6.5,"6,5",#UPO200770001,16960.0,2026-07-29,,otro,,16960,,-24226469.44,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO200770001] 16.960,00@6,5% (ARS 24hs)",16960,-24226469.44
BOL 2026123957,2026-07-29,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO300770006] #UPO300770006 Nro. 158774 Vto. 03/08/2027,COOPERATIVAS,PJ GRANDE,,NO,17020,23953233.96,258070.05,1528.9329,OK,1,6.5,"6,5",#UPO300770006,17020.0,2026-07-29,,otro,,17020,,-24274193.74,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO300770006] 17.020,00@6,5% (ARS 24hs)",17020,-24274193.74
BOL 2026123958,2026-07-29,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO120770002] #UPO120770002 Nro. 158772 Vto. 14/07/2027,COOPERATIVAS,PJ GRANDE,,NO,16910,23878227.02,242505.02,1528.9329,OK,1,6.5,"6,5",#UPO120770002,16910.0,2026-07-29,,otro,,16910,,-24180325.89,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO120770002] 16.910,00@6,5% (ARS 24hs)",16910,-24180325.89
BOL 2026124322,2026-07-29,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UDO160770002] #UDO160770002 Nro. 158276 Vto. 20/07/2027,COOPERATIVAS,PJ GRANDE,,NO,7732.77,10873770.33,112701.77,1528.9329,OK,1,6.75,"6,75",#UDO160770002,7732.77,2026-07-29,,otro,,7732.77,,-11014143.25,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UDO160770002] 7.732,77@6,75% (ARS 24hs)",7732.77,-11014143.25
